tube_assembly_id,material_id,diameter,wall,length,num_bends,bend_radius,end_a_1x,end_a_2x,end_x_1x,end_x_2x,end_a,end_x,num_boss,num_bracket,other,component_id_1,quantity_1,component_id_2,quantity_2,component_id_3,quantity_3,component_id_4,quantity_4,component_id_5,quantity_5,component_id_6,quantity_6,component_id_7,quantity_7,component_id_8,quantity_8,comp_type_count,comp_total_count,tube_volume,spec1,spec2,spec3,spec4,spec5,spec6,spec7,spec8,spec9,spec10,spec_type_count
TA-00030,SP-0028,9.52,0.89,85.0,4,19.05,N,N,N,N,EF-003,EF-003,0,0,0,C-1621,2.0,C-1628,2.0,,,,,,,,,,,,,2,4.0,1078.3889847574587,,,,,,,,,,,0
TA-00031,SP-0028,9.52,0.89,52.0,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0,C-1621,2.0,C-1628,2.0,,,,,,,,,,,,,2,4.0,659.7203200869159,,,,,,,,,,,0
TA-00032,SP-0028,12.7,0.89,55.0,2,76.2,N,N,N,N,NONE,NONE,0,0,0,C-1818,1.0,,,,,,,,,,,,,,,1,1.0,942.2928348094587,SP-0070,SP-0080,,,,,,,,,2
TA-00033,SP-0039,9.52,0.71,89.0,4,31.75,N,N,N,N,EF-008,EF-008,0,0,0,C-0823,2.0,,,,,,,,,,,,,,,1,2.0,909.7052512934056,,,,,,,,,,,0
TA-00034,SP-0028,25.4,1.65,55.0,2,50.8,N,N,N,N,EF-003,EF-009,0,0,0,C-1362,1.0,,,,,,,,,,,,,,,1,1.0,3503.1605155868488,SP-0007,SP-0058,SP-0070,SP-0080,,,,,,,4
TA-00035,SP-0035,15.88,1.24,101.0,7,38.1,N,N,N,N,EF-018,EF-003,0,0,0,C-1420,1.0,C-1421,1.0,C-1850,1.0,,,,,,,,,,,3,3.0,3002.0468778285212,SP-0007,SP-0063,SP-0069,SP-0080,,,,,,,4
TA-00036,SP-0029,9.52,0.89,74.0,5,31.75,N,N,N,N,EF-003,EF-003,0,0,0,C-1621,2.0,C-1628,2.0,,,,,,,,,,,,,2,4.0,938.832763200611,,,,,,,,,,,0
TA-00037,SP-0029,9.52,0.71,29.0,4,19.05,N,N,N,N,EF-008,EF-019,0,0,0,C-1243,1.0,C-1244,1.0,,,,,,,,,,,,,2,2.0,296.42081221919966,SP-0058,SP-0063,SP-0070,SP-0080,,,,,,,4
TA-00038,SP-0029,9.52,1.24,76.0,4,19.05,N,N,N,N,EF-003,EF-003,0,0,0,C-1621,1.0,C-1628,1.0,C-0022,1.0,,,,,,,,,,,3,3.0,1317.4834279506447,SP-0007,SP-0007,SP-0068,SP-0080,SP-0082,,,,,,5
TA-00039,SP-0028,6.35,0.89,22.0,1,19.05,N,N,N,N,EF-003,EF-003,0,0,0,C-1620,2.0,C-1627,2.0,,,,,,,,,,,,,2,4.0,181.6153142243932,SP-0007,SP-0024,SP-0069,SP-0080,SP-0082,,,,,,5
TA-00040,SP-0029,9.52,0.71,22.0,1,31.75,N,N,N,N,EF-003,EF-003,0,0,0,C-1621,1.0,C-1622,1.0,C-1628,1.0,C-1660,1.0,,,,,,,,,4,4.0,224.87096099387557,,,,,,,,,,,0
TA-00041,SP-0035,15.88,1.24,60.0,5,50.8,N,Y,N,N,EF-003,EF-018,0,0,0,C-1420,1.0,C-1421,1.0,C-1850,1.0,,,,,,,,,,,3,3.0,1783.394184848626,SP-0007,SP-0063,SP-0069,SP-0080,,,,,,,4
TA-00042,SP-0035,15.88,1.24,109.0,4,50.8,N,N,N,N,EF-018,EF-018,0,0,0,C-1420,2.0,C-1421,2.0,,,,,,,,,,,,,2,4.0,3239.832769141671,SP-0063,SP-0080,,,,,,,,,2
TA-00043,SP-0029,25.4,2.41,68.0,1,63.5,N,N,N,N,NONE,EF-003,0,0,0,C-1642,1.0,C-0023,1.0,,,,,,,,,,,,,2,2.0,6228.327758740399,,,,,,,,,,,0
TA-00044,SP-0029,12.7,1.65,36.0,3,38.1,N,N,N,N,NONE,NONE,0,0,0,,,,,,,,,,,,,,,,,0,0.0,1108.0004590129506,,,,,,,,,,,0
TA-00045,SP-0035,7.94,0.89,8.0,2,25.4,N,N,N,N,EF-003,NONE,0,0,0,C-0024,2.0,C-0025,1.0,C-0026,2.0,,,,,,,,,,,3,5.0,83.82460350161358,,,,,,,,,,,0
TA-00046,SP-0028,50.8,1.65,118.0,4,101.6,Y,Y,N,N,EF-023,NONE,1,0,0,C-1233,1.0,,,,,,,,,,,,,,,1,1.0,15284.056390227632,SP-0004,SP-0058,SP-0069,SP-0080,,,,,,,4
TA-00047,SP-0035,12.7,1.24,130.0,6,38.1,N,N,N,N,EF-018,EF-018,0,0,0,C-0448,2.0,C-0449,2.0,,,,,,,,,,,,,2,4.0,3058.8054039823965,SP-0063,SP-0069,SP-0080,,,,,,,,3
TA-00048,SP-0028,25.4,1.65,70.0,2,50.8,N,N,N,N,EF-018,EF-018,0,0,0,C-0444,2.0,C-0445,2.0,,,,,,,,,,,,,2,4.0,4458.567928928715,SP-0063,SP-0080,,,,,,,,,2
TA-00049,SP-0028,25.4,1.65,36.0,3,50.8,N,Y,N,N,EF-018,EF-009,0,0,0,C-0444,1.0,C-0445,1.0,,,,,,,,,,,,,2,2.0,2292.9777920204824,SP-0058,SP-0063,SP-0080,,,,,,,,3
TA-00050,SP-0035,9.52,0.89,45.0,2,31.75,N,N,N,N,EF-018,EF-018,0,0,0,C-1243,2.0,C-1244,2.0,,,,,,,,,,,,,2,4.0,570.911815459831,SP-0063,SP-0080,,,,,,,,,2
TA-00051,SP-0029,76.2,1.65,67.0,1,152.4,N,N,Y,Y,NONE,EF-017,0,0,0,C-0027,1.0,,,,,,,,,,,,,,,1,1.0,13088.98436976088,,,,,,,,,,,0
TA-00052,SP-0029,25.4,1.65,96.0,1,63.5,N,N,N,N,EF-003,EF-003,2,0,0,C-1536,2.0,C-1625,1.0,C-1632,1.0,C-1642,1.0,,,,,,,,,4,5.0,6114.607445387954,,,,,,,,,,,0
TA-00053,SP-0029,9.52,0.71,24.0,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0,C-1621,2.0,C-1628,2.0,,,,,,,,,,,,,2,4.0,245.31377562968243,,,,,,,,,,,0
TA-00054,SP-0029,9.52,1.24,92.0,8,31.75,N,N,N,N,EF-003,EF-003,0,0,0,C-1621,2.0,C-1628,2.0,,,,,,,,,,,,,2,4.0,1594.8483601507805,,,,,,,,,,,0
TA-00055,SP-0029,15.88,1.65,127.0,5,38.1,N,N,N,N,EF-003,EF-003,0,0,0,C-1623,1.0,C-1630,1.0,C-1647,1.0,,,,,,,,,,,3,3.0,4955.509374563453,,,,,,,,,,,0
TA-00056,SP-0029,15.88,1.65,128.0,5,38.1,N,N,N,N,EF-003,EF-003,0,0,0,C-1623,1.0,C-1630,1.0,C-1647,1.0,,,,,,,,,,,3,3.0,4994.529133418284,,,,,,,,,,,0
TA-00057,SP-0029,25.4,2.41,71.0,3,63.5,N,N,N,N,EF-003,EF-003,0,0,0,C-1625,1.0,C-1632,1.0,C-1642,1.0,,,,,,,,,,,3,3.0,6503.1069245671815,,,,,,,,,,,0
TA-00058,SP-0019,6.35,0.71,50.0,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,334.30080125930687,SP-0063,SP-0070,SP-0080,,,,,,,,3
TA-00059,SP-0029,114.3,2.41,68.0,0,0.0,Y,Y,Y,Y,EF-017,EF-003,1,0,0,C-1780,1.0,C-0013,1.0,C-0032,1.0,C-0033,1.0,,,,,,,,,4,4.0,29113.15262966507,,,,,,,,,,,0
TA-00060,SP-0039,6.35,0.71,120.0,3,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,802.3219230223366,,,,,,,,,,,0
TA-00061,SP-0039,6.35,0.71,107.0,3,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,715.4037146949167,,,,,,,,,,,0
TA-00062,SP-0035,9.52,0.89,53.0,5,31.75,N,N,N,N,EF-003,EF-003,0,0,0,C-1621,2.0,C-1628,2.0,,,,,,,,,,,,,2,4.0,672.4072493193565,,,,,,,,,,,0
TA-00063,SP-0035,9.52,0.89,12.0,1,31.75,N,N,N,N,EF-003,EF-003,0,0,0,C-1621,2.0,C-1628,2.0,,,,,,,,,,,,,2,4.0,152.24315078928828,,,,,,,,,,,0
TA-00064,SP-0029,25.4,1.65,89.0,5,50.8,N,N,N,N,NONE,NONE,0,0,0,,,,,,,,,,,,,,,,,0,0.0,5668.750652495081,,,,,,,,,,,0
TA-00065,SP-0029,25.4,3.05,193.0,0,0.0,N,N,N,N,NONE,EF-003,0,0,0,C-1767,2.0,,,,,,,,,,,,,,,1,2.0,22076.00102920661,,,,,,,,,,,0
TA-00066,SP-0028,12.7,0.89,3.0,0,0.0,N,N,N,N,EF-003,EF-003,0,0,0,C-1565,1.0,C-1724,1.0,,,,,,,,,,,,,2,2.0,51.397790989606825,SP-0007,SP-0069,SP-0080,,,,,,,,3
TA-00067,SP-0028,25.4,1.65,13.0,1,38.1,N,N,N,Y,EF-009,EF-003,0,0,0,C-1941,1.0,,,,,,,,,,,,,,,1,1.0,828.0197582296187,SP-0007,SP-0058,SP-0070,SP-0080,,,,,,,4
TA-00068,SP-0028,25.4,1.65,52.0,3,50.8,Y,Y,N,N,EF-003,EF-009,0,0,0,C-1555,1.0,,,,,,,,,,,,,,,1,1.0,3312.0790329184747,SP-0007,SP-0058,SP-0070,SP-0080,,,,,,,4
TA-00069,SP-0041,6.35,2.26,98.0,10,19.05,N,N,N,N,EF-015,EF-015,0,0,0,C-1374,1.0,C-1369,2.0,C-1375,1.0,,,,,,,,,,,3,4.0,1816.0378457935462,SP-0080,SP-0057,,,,,,,,,2
TA-00070,SP-0028,57.15,1.65,118.0,4,127.0,N,Y,N,N,EF-009,EF-009,0,0,0,,,,,,,,,,,,,,,,,0,0.0,17226.102574878907,SP-0058,SP-0070,SP-0080,,,,,,,,3
TA-00071,SP-0028,9.52,0.89,62.0,3,127.0,N,N,N,N,NONE,NONE,0,0,0,C-1817,1.0,,,,,,,,,,,,,,,1,1.0,786.5896124113228,SP-0070,SP-0080,,,,,,,,,2
TA-00072,SP-0029,12.7,0.89,76.0,7,38.1,N,N,N,N,EF-003,EF-003,1,0,0,C-1345,1.0,C-1502,1.0,C-1970,1.0,,,,,,,,,,,3,3.0,1302.0773717367065,,,,,,,,,,,0
TA-00073,SP-0028,12.7,0.89,61.0,2,127.0,N,N,N,N,EF-003,EF-003,0,1,0,C-1355,1.0,,,,,,,,,,,,,,,1,1.0,1045.0884167886722,SP-0007,SP-0009,SP-0016,SP-0070,SP-0080,,,,,,5
TA-00074,SP-0028,31.75,1.65,27.0,2,76.2,N,Y,N,N,EF-003,NONE,0,0,0,,,,,,,,,,,,,,,,,0,0.0,2164.099843893184,SP-0007,SP-0016,SP-0058,SP-0070,SP-0080,,,,,,5
TA-00075,SP-0039,6.35,0.71,135.0,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,902.6121634001288,,,,,,,,,,,0
TA-00076,SP-0039,6.35,0.71,218.0,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,1457.5514934905782,,,,,,,,,,,0
TA-00077,SP-0046,21.7,2.8,92.0,4,55.0,N,N,N,N,EF-021,EF-021,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,8214.133815782021,,,,,,,,,,,0
TA-00078,SP-0039,6.35,0.71,133.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,889.2401313497563,,,,,,,,,,,0
TA-00079,SP-0039,6.35,0.71,129.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,862.4960672490117,,,,,,,,,,,0
TA-00080,SP-0039,6.35,0.71,125.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,835.7520031482672,,,,,,,,,,,0
TA-00081,SP-0039,6.35,0.71,121.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,809.0079390475228,,,,,,,,,,,0
TA-00082,SP-0039,6.35,0.71,103.0,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,688.6596505941723,,,,,,,,,,,0
TA-00083,SP-0039,6.35,0.71,103.0,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,688.6596505941723,,,,,,,,,,,0
TA-00084,SP-0039,6.35,0.71,132.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,882.5541153245703,,,,,,,,,,,0
TA-00085,SP-0039,6.35,0.71,128.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,855.8100512238257,,,,,,,,,,,0
TA-00086,SP-0039,6.35,0.71,83.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,554.9393300904494,,,,,,,,,,,0
TA-00087,SP-0039,6.35,0.71,86.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,574.9973781660078,,,,,,,,,,,0
TA-00088,SP-0046,21.7,2.8,131.0,6,55.0,N,N,N,N,EF-021,EF-021,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,11696.212281167876,,,,,,,,,,,0
TA-00089,SP-0039,6.35,0.71,94.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,628.485506367497,,,,,,,,,,,0
TA-00090,SP-0039,6.35,0.71,122.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,815.6939550727087,,,,,,,,,,,0
TA-00091,SP-0039,6.35,0.71,125.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,835.7520031482672,,,,,,,,,,,0
TA-00092,SP-0039,6.35,0.71,129.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,862.4960672490117,,,,,,,,,,,0
TA-00093,SP-0039,6.35,0.71,132.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,882.5541153245703,,,,,,,,,,,0
TA-00094,SP-0039,6.35,0.71,122.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,815.6939550727087,,,,,,,,,,,0
TA-00095,SP-0039,6.35,0.71,106.0,2,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,708.7176986697307,,,,,,,,,,,0
TA-00096,SP-0039,6.35,0.71,106.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,C-1312,2.0,,,,,,,,,,,,,,,1,2.0,708.7176986697307,,,,,,,,,,,0
TA-00097,SP-0029,9.52,1.65,96.0,5,19.05,N,N,N,N,EF-003,EF-003,0,0,0,C-1621,2.0,C-1628,2.0,,,,,,,,,,,,,2,4.0,2163.438931338691,,,,,,,,,,,0
TA-00098,SP-0028,25.4,1.65,124.0,9,50.8,N,Y,N,N,EF-003,EF-003,0,0,0,C-1538,1.0,C-1625,1.0,C-1632,1.0,,,,,,,,,,,3,3.0,7898.034616959441,SP-0007,SP-0007,SP-0070,SP-0080,SP-0082,,,,,,5
TA-00099,SP-0029,22.22,3.05,182.0,5,50.8,N,N,N,N,NONE,NONE,1,0,0,C-1993,1.0,,,,,,,,,,,,,,,1,1.0,18044.98540357461,,,,,,,,,,,0
TA-00100,SP-0029,9.52,0.89,41.0,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0,C-1621,2.0,C-1628,2.0,,,,,,,,,,,,,2,4.0,520.1640985300683,,,,,,,,,,,0
TA-00101,SP-0028,6.35,0.89,94.0,2,76.2,N,N,N,N,EF-003,EF-003,0,0,0,,,,,,,,,,,,,,,,,0,0.0,775.9927062314982,,,,,,,,,,,0
TA-00102,SP-0035,6.35,0.89,40.0,2,19.05,N,N,N,N,EF-018,EF-018,0,0,0,C-1845,2.0,C-1846,2.0,,,,,,,,,,,,,2,4.0,330.2096622261695,,,,,,,,,,,0
TA-00103,SP-0029,152.4,1.65,35.0,0,0.0,N,N,N,N,EF-003,NONE,0,0,0,C-1521,1.0,C-1831,4.0,,,,,,,,,,,,,2,5.0,13749.896924259772,SP-0007,SP-0013,SP-0055,,,,,,,,3
TA-00104,SP-0028,12.7,0.89,68.0,2,25.4,N,N,N,Y,EF-003,EF-003,0,0,0,C-1622,2.0,C-1629,2.0,,,,,,,,,,,,,2,4.0,1165.0165957644215,,,,,,,,,,,0
TA-00105,SP-0029,41.28,1.65,83.0,2,101.6,N,N,N,N,EF-012,EF-012,0,0,0,C-1670,1.0,,,,,,,,,,,,,,,1,1.0,8702.702131596769,,,,,,,,,,,0
TA-00106,SP-0029,63.5,1.65,38.0,1,101.6,N,N,Y,Y,EF-017,EF-017,0,0,0,,,,,,,,,,,,,,,,,0,0.0,6172.793668323248,SP-0012,SP-0058,,,,,,,,,2
TA-00107,SP-0035,15.88,1.65,138.0,7,38.1,N,N,N,N,EF-018,EF-003,0,0,0,C-0441,1.0,C-1420,1.0,C-1421,1.0,,,,,,,,,,,3,3.0,5384.726721966587,SP-0007,SP-0063,SP-0069,SP-0080,,,,,,,4
TA-00108,SP-0029,25.4,3.05,31.0,2,63.5,N,Y,N,N,EF-003,EF-023,0,0,0,C-1625,1.0,C-1632,1.0,C-1842,1.0,,,,,,,,,,,3,3.0,3545.8861756756733,,,,,,,,,,,0
TA-00109,SP-0029,25.4,3.05,67.0,2,63.5,N,N,N,N,EF-003,EF-023,0,0,0,C-1625,1.0,C-1632,1.0,C-1842,1.0,,,,,,,,,,,3,3.0,7663.689476460328,,,,,,,,,,,0
TA-00110,SP-0028,25.4,1.65,31.0,2,50.8,N,N,N,Y,EF-009,EF-003,0,0,0,C-0038,1.0,,,,,,,,,,,,,,,1,1.0,1974.5086542398603,SP-0007,SP-0058,SP-0070,SP-0080,,,,,,,4
TA-00111,SP-0029,25.4,2.41,58.0,2,63.5,N,N,N,N,EF-012,EF-012,0,0,0,C-1585,2.0,C-1598,1.0,C-1759,1.0,,,,,,,,,,,3,4.0,5312.397205984458,SP-0012,SP-0024,SP-0025,SP-0026,SP-0061,SP-0080,,,,,6
TA-00112,SP-0028,6.35,0.89,66.0,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0,C-0055,1.0,C-0056,5.0,C-1845,1.0,C-1846,1.0,,,,,,,,,4,8.0,544.8459426731797,SP-0007,SP-0063,SP-0070,SP-0080,,,,,,,4
TA-00113,SP-0029,6.35,0.71,44.0,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0,C-1620,2.0,C-1627,2.0,,,,,,,,,,,,,2,4.0,294.18470510819014,,,,,,,,,,,0
TA-00114,SP-0035,6.35,0.89,138.0,4,19.05,N,N,N,N,EF-018,EF-018,0,0,0,C-1845,2.0,C-1846,2.0,,,,,,,,,,,,,2,4.0,1139.2233346802848,SP-0063,SP-0080,,,,,,,,,2
TA-00115,SP-0035,6.35,0.89,50.0,4,19.05,N,N,N,N,EF-018,EF-018,0,0,0,C-1845,2.0,C-1846,2.0,,,,,,,,,,,,,2,4.0,412.76207778271197,SP-0063,SP-0080,,,,,,,,,2
TA-00116,SP-0035,6.35,0.89,20.0,2,19.05,N,N,N,N,EF-018,EF-018,0,0,0,C-1845,2.0,C-1846,2.0,,,,,,,,,,,,,2,4.0,165.10483111308474,SP-0063,SP-0069,SP-0080,,,,,,,,3
TA-00117,SP-0035,15.88,1.24,31.0,2,38.1,N,N,N,N,EF-018,EF-018,0,0,0,C-1420,2.0,C-1421,2.0,,,,,,,,,,,,,2,4.0,921.4203288384567,SP-0063,SP-0069,SP-0080,,,,,,,,3
TA-00118,SP-0029,12.7,0.89,116.0,5,38.1,N,N,N,N,EF-003,EF-003,0,0,0,C-1622,2.0,C-1629,2.0,,,,,,,,,,,,,2,4.0,1987.3812515981308,,,,,,,,,,,0
