component_id,other_weight
C-1361,
C-0845,4.812
C-0301,1.64
C-0297,1.165
C-0849,0.237
C-1414,0.091
C-1823,0.441
C-0467,0.01
C-1692,0.03
C-0586,0.614
C-0135,1.5
C-1957,1.179
C-0195,3
C-0197,3.81
C-2039,
C-2041,
C-1691,0.78
C-0427,0.001
C-0871,0.566
C-1377,0.454
C-0916,2.74
C-0682,1.258
C-0735,0.004
C-0728,1.009
C-0757,0.25
C-0759,0.022
C-0067,0.265
C-0476,0.599
C-1932,0.336
C-0879,0.117
C-0039,1.953
C-0842,
C-0183,0.795
C-0803,0.463
C-0901,0.015
C-1818,0.016
C-0316,0.792
C-0742,0.243
C-0689,2.053
C-1438,0.019
C-0484,0.502
C-1857,
C-1827,0.01
C-0482,
C-1251,0.502
C-1360,
C-1485,0.009
C-1250,0.073
C-0305,0.459
C-1192,
C-1193,
C-1422,0.279
C-0851,1.8
C-0603,0.33
C-0818,0.081
C-0055,0.002
C-0847,
C-1540,0.059
C-0841,0.725
C-1738,2.315
C-1732,0.045
C-0673,0.844
C-1959,
C-0098,0.236
C-1787,1.53
C-0270,0.037
C-0794,12.03
C-0733,
C-0790,0.68
C-0235,4.337
C-0777,0.685
C-1757,0.4
C-1556,4.175
C-1401,0.085
C-0319,0.778
C-1754,0.5
C-0230,0.216
C-0298,0.096
C-0299,0.331
C-1825,0.445
C-1955,0.5
C-0713,0.222
C-0265,4.59
C-0637,3.225
C-1923,0.773
C-0040,1.693
C-0715,0.131
C-1009,1.5
C-0861,0.005
C-0716,2.259
C-0738,0.442
C-0604,0.204
C-0760,0.009
C-0883,0.08
C-1372,0.1
C-0034,0.424
C-0724,0.32
C-1581,3.433
C-1693,0.017
C-1755,0.831
C-0704,0.28
C-0705,0.2
C-1822,0.123
C-0056,0.004
C-1690,0.66
C-1856,1
C-0113,3.416
C-0904,0.668
C-0236,0.036
C-0906,0.087
C-0089,0.06
C-0300,0.068
C-1562,
C-0233,0.163
C-0528,0.03
C-0725,0.013
C-0128,0.158
C-1824,0.749
C-0729,0.631
C-0525,2
C-0505,0.539
C-0645,0.226
C-0812,0.85
C-0784,0.1
C-2047,0.026
C-1674,0.035
C-1800,0.853
C-0885,1.23
C-0886,1.09
C-0887,0.9
C-0888,0.785
C-0902,5.457
C-1558,2.95
C-0167,0.27
C-0983,4.405
C-0984,4.427
C-0868,0.022
C-0788,4.134
C-1559,2.219
C-1971,0.044
C-1813,0.014
C-0375,0.019
C-1560,6.9
C-1933,0.451
C-0024,0.509
C-0032,4.485
C-1532,0.291
C-1596,
C-0109,0.063
C-0114,2.927
C-0116,0.1
C-1310,0.012
C-0136,
C-0469,0.068
C-1570,
C-1397,0.011
C-1504,0.826
C-1541,0.148
C-1573,
C-0222,9.456
C-1367,0.155
C-1765,0.706
C-0280,0.614
C-1977,0.005
C-1666,1.719
C-0282,
C-1799,0.01
C-0326,0.336
C-0088,6.35
C-0310,0.283
C-0373,0.105
C-0330,1
C-0103,1.457
C-1737,0.001
C-0346,0.04
C-0396,0.352
C-0349,2
C-0372,0.049
C-0576,0.019
C-1753,1.8
C-1926,0.188
C-1741,0.749
C-0408,2.26
C-1387,0.13
C-1528,0.28
C-0540,0.251
C-0507,
C-0511,0.225
C-0512,0.18
C-0519,0.077
C-0324,0.319
C-0614,0.599
C-0524,0.36
C-0527,1.903
C-0530,0.04
C-0515,0.019
C-0558,0.171
C-0559,0.034
C-0561,1.044
C-1515,0.301
C-0980,0.841
C-0564,4.312
C-0843,0.11
C-0588,0.62
C-0592,1.218
C-0563,0.406
C-1662,0.038
C-0241,0.118
C-1321,0.402
C-0416,0.06
C-1204,1.46
C-0610,0.516
C-0611,0.851
C-0613,2.46
C-1984,0.15
C-0634,0.236
C-0696,0.176
C-0635,9.57
C-0068,
C-0648,0.552
C-0650,0.413
C-0657,0.182
C-0658,0.17
C-0536,0.16
C-1526,0.102
C-0430,0.222
C-0127,0.166
C-0091,0.164
C-0590,0.279
C-0125,0.165
C-0397,0.004
C-0892,0.055
C-0838,0.04
C-0126,0.162
C-0711,0.493
C-0718,0.021
C-0714,0.915
C-0721,2.719
C-0726,1.327
C-0731,1.722
C-1240,0.1
C-0010,0.01
C-0736,1.519
C-2042,0.002
C-1524,0.339
C-1942,0.1
C-1424,0.495
C-0047,0.233
C-0773,2.316
C-0779,0.37
C-0809,0.062
C-0801,0.122
C-0810,2.532
C-0866,0.019
C-2036,0.001
C-0811,
C-0517,0.031
C-0929,0.019
C-0878,0.025
C-0862,0.278
C-0898,0.005
C-1876,0.038
C-2012,0.279
C-1093,0.613
C-0232,0.073
C-0926,0.18
C-0896,0.028
C-0668,1.028
C-1330,0.242
C-0951,0.203
C-0995,1.253
C-1241,0.074
C-0877,0.01
C-0785,0.277
C-1082,1.954
C-1875,0.025
C-0990,1.75
C-2011,0.211
C-0997,5.098
C-0998,6.195
C-1170,0.048
C-0919,
C-1003,
C-1517,0.09
C-0781,2.254
C-1523,0.038
C-1017,0.028
C-1023,0.223
C-0200,0.223
C-1030,0.803
C-1051,3.514
C-1038,0.288
C-1047,0.094
C-1046,4.814
C-1050,12.9
C-1052,0.812
C-1891,0.009
C-1279,0.059
C-1090,0.421
C-1133,0.3
C-1062,0.831
C-0763,6.679
C-1028,1.118
C-0907,0.02
C-1040,0.001
C-1048,0.438
C-1077,1.169
C-1042,0.003
C-1085,0.129
C-0302,0.015
C-1044,0.001
C-1094,0.619
C-1100,0.256
C-1101,0.264
C-1108,4.383
C-0490,0.026
C-1125,6
C-1086,0.4
C-0153,1.161
C-1114,4.585
C-1118,0.027
C-1131,6.068
C-1075,0.354
C-1136,
C-1137,0.724
C-1139,0.206
C-1167,0.119
C-1165,1.427
C-0287,0.01
C-1153,0.042
C-0884,0.033
C-0889,0.016
C-1154,1.137
C-1155,1.806
C-1156,1.048
C-1159,0.287
C-1163,0.354
C-1162,0.239
C-1166,0.131
C-1175,0.462
C-1176,0.995
C-1177,0.741
C-1178,2.67
C-1179,4.245
C-0925,0.018
C-1181,0.28
C-1188,0.615
C-1190,0.375
C-1191,3.365
C-1246,0.001
C-1252,
C-1472,
C-1473,
C-1099,0.525
C-1265,3.13
C-1148,0.537
C-1280,0.11
C-1273,0.095
C-1266,2.102
C-1272,3.353
C-1293,0.112
C-1275,0.582
C-1276,0.706
C-1289,0.699
C-1281,1.889
C-1305,0.241
C-1307,0.17
C-1288,0.698
C-0531,0.096
C-1290,13.77
C-1291,6.927
C-1292,6.259
C-1185,2.443
C-1264,0.209
C-1295,0.571
C-1297,1.554
C-1302,0.376
C-1301,1.811
C-0224,0.28
C-1322,0.074
C-1201,0.026
C-1396,
C-1395,
C-1938,0.862
C-1388,2.6
C-1569,
C-0431,0.21
C-0429,0.015
C-1709,0.052
C-1915,
C-1916,
C-1237,0.409
C-1918,1.86
C-1797,0.239
C-1730,0.129
C-1325,0.005
C-0025,0.15
C-0033,1.662
C-1847,0.158
C-1852,0.009
C-1810,0.25
C-1574,0.098
C-1766,0.113
C-1961,0.195
C-0256,0.597
C-1929,0.257
C-0291,0.559
C-0290,0.408
C-0327,7.304
C-0311,0.578
C-1878,0.02
C-1979,0.117
C-0350,1
C-0276,4.59
C-0381,3.855
C-0384,7.207
C-0629,0.21
C-0535,0.181
C-0560,0.082
C-1516,2.225
C-0571,0.896
C-0589,0.157
C-0594,0.458
C-0595,0.93
C-0659,0.441
C-0574,0.423
C-1522,2.372
C-0686,0.119
C-0687,6.804
C-0184,0.323
C-0712,0.184
C-0730,0.363
C-0754,0.417
C-1525,0.055
C-0758,2.011
C-0856,0.068
C-2037,0.001
C-0897,0.241
C-0928,0.048
C-0669,0.369
C-1597,0.031
C-0670,0.208
C-0969,0.284
C-0786,7.352
C-0985,2.227
C-2013,0.22
C-0935,0.015
C-1306,0.148
C-1146,0.046
C-0633,0.107
C-1018,0.074
C-1025,0.997
C-1033,0.394
C-1031,0.807
C-1060,0.033
C-1053,1.65
C-1056,0.031
C-1057,2.619
C-1091,0.092
C-1063,0.829
C-1079,0.877
C-1111,0.226
C-1008,0.329
C-0491,0.127
C-1122,0.461
C-1128,1.561
C-1134,0.854
C-1140,0.058
C-1161,0.321
C-1164,0.778
C-1277,0.232
C-0937,0.134
C-1263,4.633
C-1269,1.463
C-1274,0.115
C-1285,1.219
C-1287,2.015
C-1282,1.132
C-1286,0.599
C-1284,0.725
C-1186,0.259
C-1296,0.719
C-1299,0.026
C-1304,2.316
C-1519,0.723
C-1529,0.122
C-1930,0.26
C-0026,0.032
C-0176,0.476
C-0351,2.16
C-0277,3.5
C-0630,0.177
C-0660,0.567
C-1982,0.025
C-0662,0.102
C-0489,0.91
C-0692,0.109
C-0857,0.396
C-0204,0.088
C-0671,0.194
C-0918,0.53
C-0986,0.3
C-0936,0.015
C-0908,0.16
C-1002,0.266
C-1026,1.559
C-1054,0.467
C-1092,0.238
C-1064,5.928
C-1087,2.786
C-1088,3.043
C-1129,1.255
C-1073,0.031
C-1173,0.175
C-1270,0.198
C-1267,0.173
C-1294,0.19
C-1991,2
C-0148,0.375
C-0352,0.39
C-0379,3.7
C-0289,1.12
C-0664,0.619
C-0665,1.225
C-0666,2.716
C-0690,0.692
C-0691,0.273
C-0693,0.189
C-0694,0.799
C-0756,0.689
C-0858,0.983
C-0870,1.232
C-0798,0.198
C-0753,0.282
C-0981,0.524
C-0991,0.813
C-0909,0.034
C-1012,0.286
C-1016,0.298
C-1055,0.208
C-1084,0.602
C-1147,0.018
C-1271,0.205
C-0279,0.908
C-0353,0.326
C-0557,1.178
C-0663,3.771
C-0695,2.977
C-0933,1.207
C-0967,1.138
C-0992,1.05
C-1011,1.607
C-1015,0.666
C-1070,0.97
C-0934,0.701
C-0355,1.2
C-0968,6.596
C-1049,1.182
