component_id,elbow_component_type_id,elbow_bolt_pattern_long,elbow_bolt_pattern_wide,elbow_extension_length,elbow_overall_length,elbow_thickness,elbow_drop_length,elbow_elbow_angle,elbow_mj_class_code,elbow_mj_plug_class_code,elbow_plug_diameter,elbow_groove,elbow_unique_feature,elbow_orientation,elbow_weight
C-0285,CP-011,88.9,50.8,70.4,142.0,100.0,50.0,,MJ-003,MJ-006,,No,Yes,Yes,5.307
C-0296,CP-010,60.32,,55.0,90.4,32.0,41.7,90.0,,,,Yes,Yes,Yes,2.189
C-0303,CP-008,88.9,50.8,79.9,134.9,20.0,62.3,105.0,,,,Yes,No,Yes,2.1790000000000003
C-0320,CP-012,,,,37.0,,,,,,76.0,No,No,No,0.639
C-0331,CP-008,88.9,50.8,50.0,100.0,100.0,50.0,90.0,,,,Yes,No,Yes,6.245
C-0367,CP-009,50.8,23.8,39.0,63.0,49.0,29.5,90.0,,,,Yes,No,Yes,1.093
C-0394,CP-008,77.77,42.88,50.0,88.0,52.0,26.0,90.0,,,,Yes,No,Yes,2.46
C-0401,CP-008,52.4,26.2,50.0,85.3,46.0,22.0,90.0,,,,Yes,Yes,Yes,1.095
C-0407,CP-008,69.85,35.71,49.0,92.0,59.0,28.5,90.0,,,,No,Yes,Yes,2.38
C-0447,CP-010,36.07,,44.7,53.34,28.45,15.75,90.0,,,,No,Yes,Yes,0.23199999999999998
C-0464,CP-011,69.9,35.7,58.0,93.0,59.0,28.5,,MJ-003,Threaded,,Yes,No,Yes,2.041
C-0501,CP-008,77.8,42.9,57.9,96.75,63.5,42.1,90.0,,,,Yes,No,Yes,3.655
C-0516,CP-009,52.37,26.19,44.0,68.0,56.0,26.0,90.0,,,,Yes,No,Yes,1.015
C-0526,CP-010,66.7,,28.7,54.1,20.9,22.2,90.0,,,,Yes,No,Yes,0.544
C-0537,CP-010,78.2,,32.0,64.0,36.0,9999.0,169.25,,,,Yes,Yes,Yes,0.42
C-0565,CP-009,50.8,23.8,39.0,63.0,49.0,26.0,90.0,,,,Yes,No,Yes,1.05
C-0566,CP-011,58.72,30.18,49.09,85.5,53.0,25.5,,MJ-003,Threaded,,Yes,No,Yes,1.4
C-0567,CP-011,58.7,30.2,53.1,100.0,53.0,25.5,,MJ-003,MJ-005,,Yes,No,Yes,1.52
C-0585,CP-008,52.4,26.2,34.9,64.3,15.9,20.6,90.0,,,,No,No,Yes,0.551
C-0598,CP-010,82.6,,58.7,92.0,15.7,35.1,90.0,,,,Yes,No,Yes,0.687
C-0608,CP-008,58.72,30.18,60.0,86.0,75.0,49.0,90.0,,,,Yes,No,Yes,2.22
C-0615,CP-008,52.37,26.19,42.1,71.1,38.0,27.0,90.0,,,,No,No,Yes,0.7120000000000001
C-0616,CP-008,52.37,26.19,42.1,72.1,38.0,27.0,90.0,,,,Yes,No,Yes,0.6990000000000001
C-0625,CP-008,58.7,30.2,45.0,75.0,50.0,25.0,90.0,,,,Yes,No,Yes,1.845
C-0646,CP-008,106.38,61.93,55.5,111.0,115.0,57.5,90.0,,,,Yes,Yes,Yes,10.19
C-0688,CP-009,66.68,31.75,48.5,78.5,69.0,49.0,90.0,,,,No,No,Yes,2.6510000000000002
C-0789,CP-010,129.0,,88.0,149.4,71.0,46.0,90.0,,,,No,Yes,Yes,2.319
C-0802,CP-008,77.8,42.9,63.5,111.9,19.1,35.0,90.0,,,,No,No,Yes,1.4180000000000001
C-0820,CP-008,77.77,42.88,49.28,98.55,66.0,45.72,90.0,,,,Yes,No,Yes,1.95
C-0821,CP-008,69.85,35.71,57.4,92.4,63.5,44.45,90.0,,,,Yes,No,Yes,1.982
C-0822,CP-008,52.37,26.19,34.9,64.3,15.88,20.6,90.0,,,,No,No,Yes,0.7
C-0839,CP-008,52.4,26.2,35.66,62.0,43.69,26.93,90.0,,,,Yes,No,Yes,1.6480000000000001
C-0905,CP-008,52.4,26.2,40.0,64.65,38.1,27.0,90.0,,,,Yes,No,Yes,0.21
C-0910,CP-009,66.68,31.75,45.0,75.0,69.0,49.0,90.0,,,,No,Yes,Yes,2.543
C-0931,CP-008,88.9,50.8,55.0,110.0,75.0,37.5,90.0,,,,No,Yes,Yes,5.202000000000001
C-0943,CP-008,57.2,27.8,51.0,86.0,22.0,34.0,90.0,,,,Yes,No,Yes,1.156
C-0956,CP-008,50.8,23.8,45.0,75.0,19.5,28.0,90.0,,,,Yes,No,Yes,0.695
C-0963,CP-008,50.8,23.8,45.0,95.0,19.5,28.0,90.0,,,,Yes,No,Yes,0.755
C-0972,CP-009,50.8,23.8,46.0,70.0,52.0,26.0,90.0,,,,No,No,Yes,1.14
C-0999,CP-008,58.72,30.18,48.51,76.2,46.0,30.2,90.0,,,,Yes,No,Yes,1.3559999999999999
C-1004,CP-010,79.25,,48.5,86.0,58.5,35.0,90.0,,,,No,Yes,Yes,0.7
C-1006,CP-011,66.7,31.8,57.4,109.5,59.0,28.5,,MJ-003,MJ-005,,No,No,Yes,2.394
C-1024,CP-009,57.2,27.8,42.0,72.0,44.0,24.0,90.0,,,,No,Yes,Yes,1.3159999999999998
C-1069,CP-008,106.38,61.93,50.8,101.6,70.0,43.7,90.0,,,,No,No,Yes,5.36
C-1208,CP-008,47.7,22.2,35.0,61.2,17.5,20.6,90.0,,,,No,Yes,Yes,0.68
C-1239,CP-010,53.98,,35.81,60.45,38.1,38.35,110.0,,,,Yes,No,Yes,0.499
C-1247,CP-010,82.5,,38.0,76.0,18.0,27.0,90.0,,,,Yes,Yes,Yes,0.636
C-1255,CP-008,58.72,30.18,65.0,101.5,25.0,20.0,90.0,,,,Yes,No,Yes,0.69
C-1317,CP-008,47.6,22.2,26.2,52.2,33.27,20.6,90.0,,,,Yes,No,Yes,0.5660000000000001
C-1327,CP-009,57.15,27.76,42.0,69.0,49.0,26.0,90.0,,,,Yes,No,Yes,1.225
C-1331,CP-009,66.7,31.8,45.0,75.5,62.0,35.0,90.0,,,,No,No,Yes,2.1919999999999997
C-1333,CP-009,57.2,27.8,42.0,69.0,49.0,26.0,90.0,,,,No,No,Yes,1.286
C-1334,CP-009,66.8,31.8,45.0,74.0,49.0,26.0,90.0,,,,Yes,No,Yes,1.923
C-1335,CP-009,66.7,31.8,45.0,75.0,77.0,50.4,90.0,,,,No,No,Yes,2.821
C-1336,CP-009,66.7,31.8,50.0,80.0,57.5,31.5,90.0,,,,No,No,Yes,1.88
C-1337,CP-009,66.68,31.75,45.0,75.0,47.0,26.0,90.0,,,,Yes,No,Yes,1.806
C-1339,CP-008,47.6,22.2,20.5,41.0,34.0,17.5,90.0,,,,Yes,No,Yes,0.521
C-1345,CP-010,38.1,,20.32,38.1,21.34,11.18,90.0,,,,No,No,Yes,0.332
C-1348,CP-008,47.63,22.23,38.1,,33.27,20.64,90.0,,,,Yes,No,Yes,0.654
C-1349,CP-008,52.38,26.19,31.75,62.0,36.0,22.5,90.0,,,,Yes,No,Yes,0.636
C-1350,CP-008,52.37,26.19,31.75,62.08,36.07,22.35,90.0,,,,No,No,Yes,0.635
C-1362,CP-010,52.37,,21.03,38.56,41.15,26.97,120.0,,,,No,Yes,Yes,
C-1363,CP-010,79.38,,41.3,77.88,11.18,45.97,90.0,,,,No,Yes,Yes,
C-1378,CP-010,63.5,,54.31,91.5,37.0,26.97,90.0,,,,Yes,Yes,Yes,0.47
C-1389,CP-008,52.37,26.19,31.75,61.98,14.2,22.35,90.0,,,,Yes,No,Yes,0.546
C-1404,CP-008,47.6,22.2,50.0,78.0,44.0,22.0,90.0,,,,No,No,Yes,1.2
C-1405,CP-008,52.4,26.2,50.1,78.1,46.0,22.0,90.0,,,,Yes,No,Yes,1.053
C-1409,CP-008,52.37,26.19,50.0,78.0,44.0,22.0,90.0,,,,No,No,Yes,1.0
C-1419,CP-008,69.9,35.7,55.0,93.0,50.0,44.0,90.0,,,,Yes,No,Yes,1.107
C-1428,CP-008,47.63,22.23,33.5,61.2,17.5,22.3,90.0,,,,No,No,Yes,0.475
C-1429,CP-008,52.37,26.19,33.3,63.3,22.5,27.0,90.0,,,,Yes,No,Yes,0.726
C-1432,CP-008,106.38,61.93,95.25,149.23,15.88,79.38,90.0,,,,Yes,No,Yes,1.6059999999999999
C-1488,CP-011,58.7,30.2,53.1,85.5,53.0,25.5,,MJ-003,Threaded,,Yes,No,Yes,1.426
C-1500,CP-008,88.9,50.8,82.5,111.1,97.5,80.0,90.0,,,,Yes,No,Yes,3.62
C-1514,CP-010,78.23,,35.31,76.5,50.8,38.1,90.0,,,,Yes,Yes,Yes,1.5
C-1527,CP-010,82.55,,47.63,95.26,9.53,39.7,90.0,,,,No,No,Yes,0.631
C-1538,CP-010,57.15,,31.8,55.8,14.0,22.22,90.0,,,,Yes,No,Yes,0.45399999999999996
C-1539,CP-008,47.63,22.23,25.4,51.56,15.88,15.88,90.0,,,,Yes,No,Yes,0.363
C-1542,CP-008,38.1,17.48,35.08,53.4,14.2,12.7,90.0,,,,No,No,Yes,0.272
C-1565,CP-010,38.07,,37.1,66.4,12.7,7.9,90.0,,,,No,Yes,Yes,0.16899999999999998
C-1566,CP-010,82.55,,58.7,92.0,15.8,35.1,90.0,,,,No,No,Yes,0.69
C-1575,CP-010,82.55,,57.15,88.9,31.75,31.75,90.0,,,,Yes,No,Yes,1.44
C-1576,CP-008,77.77,42.88,38.1,76.1,11.0,28.5,90.0,,,,Yes,No,Yes,0.723
C-1585,CP-012,,,,28.0,,,,,,25.0,No,No,No,0.064
C-1586,CP-012,,,,28.0,,,,,,32.0,No,No,No,0.09300000000000001
C-1587,CP-012,,,,30.0,,,,,,38.0,No,No,No,0.145
C-1588,CP-012,,,,37.0,,,,,,50.0,No,No,No,0.225
C-1589,CP-012,,,,37.0,,,,,,60.0,No,No,No,0.25
C-1598,CP-011,52.4,26.2,50.1,94.0,46.0,22.0,,MJ-003,MJ-005,,Yes,No,Yes,1.1540000000000001
C-1599,CP-011,50.8,23.8,49.9,94.0,46.0,22.0,,MJ-003,MJ-005,,Yes,No,Yes,1.193
C-1600,CP-011,52.4,26.2,53.1,100.0,53.0,25.5,,MJ-003,MJ-005,,Yes,No,Yes,1.338
C-1601,CP-011,52.4,26.2,53.1,100.0,53.0,25.5,,MJ-003,MJ-005,,No,No,Yes,1.421
C-1602,CP-011,58.7,30.2,53.1,100.0,53.0,25.5,,MJ-003,MJ-005,,No,No,Yes,1.659
C-1603,CP-011,58.7,30.2,53.1,100.0,53.0,25.5,,MJ-003,MJ-005,,Yes,No,Yes,1.641
C-1604,CP-011,58.7,30.2,53.1,100.0,53.0,25.5,,MJ-003,MJ-005,,Yes,No,Yes,1.564
C-1605,CP-011,57.2,27.8,52.9,100.0,53.0,25.5,,MJ-003,MJ-005,,Yes,No,Yes,1.672
C-1606,CP-011,58.7,30.2,58.1,108.0,59.0,28.5,,MJ-003,MJ-005,,Yes,No,Yes,1.715
C-1607,CP-011,69.9,35.7,57.9,108.0,59.0,28.5,,MJ-003,MJ-005,,Yes,No,Yes,2.237
C-1608,CP-011,66.7,31.8,57.4,109.5,59.0,28.5,,MJ-003,MJ-005,,No,No,Yes,2.653
C-1609,CP-011,69.9,35.7,57.9,108.0,59.0,28.5,,MJ-003,MJ-005,,Yes,No,Yes,2.535
C-1610,CP-011,69.9,35.7,57.9,108.0,59.0,28.5,,MJ-003,MJ-005,,Yes,No,Yes,2.35
C-1611,CP-011,79.4,36.5,67.5,128.0,85.0,41.5,,MJ-004,MJ-006,,Yes,No,Yes,4.86
C-1612,CP-011,77.8,42.9,62.4,128.0,85.0,41.5,,MJ-003,MJ-006,,Yes,No,Yes,4.448
C-1613,CP-011,77.8,42.9,67.0,129.5,72.0,35.0,,MJ-003,MJ-005,,Yes,No,Yes,3.9389999999999996
C-1636,CP-011,52.4,26.2,53.1,100.0,53.0,25.5,,MJ-003,MJ-005,,Yes,Yes,Yes,1.33
C-1681,CP-010,39.98,,24.0,48.7,18.0,9.0,90.0,,,,Yes,Yes,Yes,0.142
C-1686,CP-008,77.8,42.9,63.5,,49.28,35.05,90.0,,,,Yes,No,Yes,0.6659999999999999
C-1726,CP-008,52.37,26.19,33.3,163.8,22.0,27.0,90.0,,,,Yes,No,Yes,0.8809999999999999
C-1733,CP-010,63.5,,31.8,56.8,28.4,20.0,90.0,,,,No,No,Yes,0.245
C-1744,CP-008,52.37,26.19,47.75,77.98,37.34,26.92,90.0,,,,Yes,No,Yes,0.45399999999999996
C-1759,CP-011,52.4,26.2,50.1,94.0,46.0,22.0,,MJ-003,MJ-005,,No,No,Yes,1.232
C-1769,CP-009,66.68,31.75,50.0,80.0,52.0,26.0,90.0,,,,Yes,No,Yes,1.662
C-1774,CP-009,79.4,36.5,55.0,90.0,65.0,35.0,90.0,,,,No,No,Yes,3.536
C-1782,CP-009,50.8,23.8,39.0,63.0,39.0,20.5,90.0,,,,Yes,No,Yes,0.775
C-1783,CP-009,57.2,27.8,42.0,69.0,49.0,26.0,90.0,,,,Yes,No,Yes,1.3159999999999998
C-1786,CP-009,66.68,31.75,50.0,80.0,57.5,31.5,90.0,,,,Yes,No,Yes,1.864
C-1788,CP-009,50.8,23.8,39.0,63.0,47.0,25.0,90.0,,,,Yes,No,Yes,1.065
C-1803,CP-011,77.8,42.9,66.9,135.5,85.0,41.5,,MJ-003,MJ-006,,Yes,No,Yes,4.07
C-1816,CP-008,52.4,26.2,37.0,65.0,22.0,27.0,90.0,,,,Yes,No,Yes,1.1
C-1819,CP-010,64.3,,46.0,70.0,30.0,26.0,90.0,,,,Yes,No,Yes,1.123
C-1820,CP-008,52.37,26.19,46.0,73.0,36.0,22.0,90.0,,,,Yes,No,Yes,0.45
C-1821,CP-008,52.37,26.19,46.0,,37.5,29.5,106.6,,,,Yes,No,Yes,0.45
C-1826,CP-008,47.6,22.2,46.0,73.0,36.0,22.0,90.0,,,,Yes,No,Yes,0.93
C-1829,CP-011,58.7,30.2,49.23,75.5,60.58,41.28,,MJ-007,,,Yes,Yes,Yes,1.588
C-1842,CP-008,52.4,26.2,38.1,69.85,50.8,25.4,90.0,,,,No,No,Yes,1.8159999999999998
C-1853,CP-010,57.15,,45.8,74.5,44.5,22.22,90.0,,,,No,Yes,Yes,0.451
C-1863,CP-010,73.0,,30.5,60.5,11.0,26.9,90.0,,,,Yes,No,Yes,0.513
C-1872,CP-012,,,,37.0,,,,,,70.0,No,No,No,0.568
C-1896,CP-010,57.15,,30.0,54.0,10.0,22.0,90.0,,,,Yes,Yes,Yes,0.905
C-1899,CP-011,88.9,50.8,70.4,142.0,102.0,50.0,,MJ-003,MJ-006,,Yes,Yes,Yes,5.79
C-1905,CP-011,88.9,50.8,70.4,140.0,85.0,41.5,,MJ-003,MJ-006,,Yes,No,Yes,3.25
C-1931,CP-008,88.9,50.8,79.1,129.1,15.0,90.0,90.0,,,,Yes,No,Yes,2.67
C-1935,CP-008,88.9,50.8,50.8,98.45,73.9,44.5,90.0,,,,Yes,No,Yes,1.766
C-1948,CP-008,47.63,69.92,63.5,108.71,13.72,29.26,90.0,,,,No,Yes,Yes,1.062
C-1951,CP-010,63.5,,33.5,60.5,39.0,25.4,90.0,,,,No,No,Yes,0.975
C-1989,CP-009,66.7,31.8,50.0,80.0,52.0,26.0,90.0,,,,No,No,Yes,1.8969999999999998
C-1992,CP-008,47.63,22.23,46.89,71.89,30.0,23.0,90.0,,,,Yes,No,Yes,1.1
C-2010,CP-011,58.7,30.2,53.1,100.0,53.0,25.5,,MJ-003,MJ-005,,Yes,Yes,Yes,1.78
C-2024,CP-011,58.72,30.18,,85.5,51.0,25.5,,MJ-003,Threaded,,Yes,Yes,Yes,0.975
C-2031,CP-011,88.9,50.8,70.4,142.0,102.0,50.0,,MJ-003,MJ-006,,No,No,Yes,6.0489999999999995
