component_id,straight_component_type_id,straight_bolt_pattern_long,straight_bolt_pattern_wide,straight_head_diameter,straight_overall_length,straight_thickness,straight_mj_class_code,straight_groove,straight_unique_feature,straight_orientation,straight_weight
C-0362,CP-004,56.0,,,,20.0,,Yes,No,Yes,0.32
C-0370,CP-006,,,127.0,25.4,11.5,,Yes,No,No,0.596
C-0380,CP-003,77.77,42.88,,,16.0,,Yes,Yes,Yes,0.9279999999999999
C-0385,CP-004,82.56,,,,25.0,,Yes,Yes,Yes,0.732
C-0392,CP-006,,,44.45,28.0,14.2,,Yes,No,No,0.14
C-0398,CP-004,50.8,,,,9.5,,No,No,Yes,0.078
C-0400,CP-003,88.9,50.8,,,28.0,,No,No,Yes,1.547
C-0403,CP-003,77.77,42.88,,,37.0,,No,No,Yes,2.59
C-0406,CP-003,120.65,69.85,,,24.0,,No,No,Yes,2.199
C-0423,CP-004,73.02,,,,10.0,,No,No,Yes,0.16
C-0434,CP-004,57.15,,,,9.72,,No,No,Yes,0.191
C-0450,CP-002,52.37,26.19,,,28.0,MJ-001,Yes,No,Yes,0.496
C-0451,CP-002,58.7,30.2,,,28.0,MJ-001,Yes,No,Yes,0.693
C-0452,CP-002,69.9,35.7,,,28.0,MJ-001,Yes,No,Yes,0.94
C-0453,CP-002,77.8,42.9,,,28.0,MJ-001,Yes,No,Yes,1.094
C-0456,CP-007,,,50.8,,14.2,MJ-001,No,No,No,0.175
C-0457,CP-007,,,44.45,28.0,14.2,MJ-001,Yes,No,No,0.14
C-0458,CP-007,,,50.8,,14.2,MJ-001,Yes,No,No,0.158
C-0459,CP-007,,,50.8,28.0,14.2,MJ-001,Yes,No,No,0.175
C-0460,CP-007,,,60.32,28.0,14.2,MJ-001,Yes,No,No,0.21
C-0461,CP-007,,,71.42,28.0,14.2,MJ-001,Yes,No,No,0.40299999999999997
C-0462,CP-007,,,71.42,28.0,14.2,MJ-001,Yes,No,No,0.28
C-0463,CP-007,,,82.55,,14.2,MJ-003,Yes,No,No,0.613
C-0465,CP-002,79.38,36.5,,,28.0,MJ-001,No,No,Yes,1.347
C-0466,CP-002,52.37,26.19,,,28.0,MJ-001,No,No,Yes,0.48200000000000004
C-0468,CP-004,50.8,,,,8.74,,No,No,Yes,0.09
C-0471,CP-004,76.2,,,,16.0,,Yes,No,Yes,
C-0479,CP-004,62.0,,,,10.0,,No,No,Yes,0.06
C-0480,CP-004,38.1,,,,10.0,,No,No,Yes,
C-0485,CP-006,,,60.35,28.0,8.0,,Yes,No,No,0.32
C-0492,CP-006,,,60.32,,8.8,,Yes,No,No,0.154
C-0498,CP-006,,,50.8,,8.0,,Yes,No,No,0.172
C-0500,CP-006,,,71.37,,9.52,,Yes,No,No,0.207
C-0509,CP-004,82.56,,,,15.0,,Yes,No,Yes,0.345
C-0510,CP-004,82.56,,,,14.0,,Yes,Yes,Yes,0.3
C-0532,CP-006,,,71.4,,9.6,,Yes,No,No,0.22899999999999998
C-0538,CP-004,91.0,,,,28.0,,Yes,Yes,Yes,0.91
C-0543,CP-006,,,71.4,,9.53,,Yes,No,No,0.22399999999999998
C-0546,CP-001,52.4,26.2,,,15.0,,Yes,Yes,Yes,1.2009999999999998
C-0551,CP-003,50.8,23.8,,,23.0,,Yes,No,Yes,0.442
C-0554,CP-003,152.4,92.1,,,19.05,,Yes,No,Yes,2.377
C-0568,CP-002,88.9,50.8,,,28.0,MJ-001,Yes,No,Yes,1.469
C-0573,CP-006,,,60.5,,8.8,,No,No,No,0.192
C-0591,CP-006,,,66.0,,8.0,,Yes,Yes,No,0.161
C-0599,CP-003,52.4,26.2,,,22.35,,Yes,No,Yes,0.447
C-0601,CP-003,52.4,26.19,,,22.0,,No,No,Yes,0.424
C-0602,CP-002,52.4,26.2,,,36.5,MJ-003,No,No,Yes,0.752
C-0606,CP-004,62.0,,,,8.0,,No,No,Yes,0.129
C-0612,CP-003,106.38,61.93,,,45.0,,No,Yes,Yes,4.0760000000000005
C-0618,CP-003,106.4,61.9,,,15.9,,Yes,No,Yes,0.955
C-0619,CP-002,66.7,31.8,,,36.5,MJ-003,Yes,No,Yes,1.455
C-0621,CP-007,,,71.42,36.5,9.53,MJ-003,Yes,No,No,0.56
C-0622,CP-006,,,84.12,19.5,9.53,,Yes,No,No,0.435
C-0628,CP-006,,,44.45,12.7,8.0,,Yes,No,No,0.5
C-0632,CP-003,69.9,35.7,,,36.5,,No,No,Yes,1.368
C-0652,CP-003,106.4,61.9,,,15.9,,Yes,No,Yes,0.955
C-0653,CP-006,,,38.1,12.7,6.7,,Yes,No,No,0.061
C-0679,CP-003,52.37,26.19,,,32.0,,No,No,Yes,0.474
C-0698,CP-004,102.4,,,,8.0,,Yes,No,Yes,0.22899999999999998
C-0703,CP-006,,,41.28,,14.22,,Yes,No,No,0.15
C-0709,CP-006,,,38.1,,6.73,,Yes,No,No,0.085
C-0722,CP-003,66.65,66.65,,,12.0,,No,No,Yes,0.72
C-0732,CP-004,74.63,,,,10.0,,Yes,No,Yes,0.256
C-0734,CP-003,106.4,61.9,,,18.0,,Yes,No,Yes,1.26
C-0737,CP-003,106.4,61.9,,,35.0,,Yes,No,Yes,3.0
C-0739,CP-004,56.2,,,,19.0,,Yes,Yes,Yes,0.258
C-0741,CP-006,,,50.8,,8.24,,Yes,No,No,0.14
C-0747,CP-006,,,53.98,28.0,14.2,,Yes,No,No,0.22399999999999998
C-0748,CP-006,,,47.63,28.0,14.2,,Yes,No,No,0.187
C-0750,CP-004,57.2,,,,9.27,,No,No,Yes,0.191
C-0761,CP-003,110.0,110.0,,,16.0,,Yes,No,Yes,1.3719999999999999
C-0778,CP-004,86.0,,,,10.0,,Yes,No,Yes,0.265
C-0782,CP-001,66.7,31.8,,,20.0,,No,No,Yes,0.7879999999999999
C-0787,CP-004,57.15,,,,9.27,,Yes,No,Yes,0.07
C-0792,CP-003,120.7,69.9,,,24.6,,No,No,Yes,2.52
C-0799,CP-003,106.38,61.93,,,16.0,,Yes,No,Yes,1.3430000000000002
C-0808,CP-002,88.9,50.8,,,28.0,MJ-001,No,No,Yes,1.545
C-0819,CP-004,98.42,,,,12.3,,No,No,Yes,0.272
C-0829,CP-007,,,60.32,,8.0,MJ-003,Yes,No,No,0.32
C-0836,CP-004,69.85,,,,15.09,,Yes,No,Yes,
C-0840,CP-003,120.0,120.0,,,19.05,,Yes,No,Yes,2.447
C-0846,CP-004,75.0,,,,10.0,,No,No,Yes,0.4
C-0850,CP-004,75.0,,,,12.0,,No,No,Yes,0.7
C-0875,CP-004,127.0,,,,16.0,,No,No,Yes,0.765
C-0880,CP-002,120.65,69.85,,,36.5,MJ-002,Yes,No,Yes,4.378
C-0881,CP-002,130.18,77.77,,,32.7,MJ-002,No,No,Yes,3.713
C-0894,CP-004,76.2,,,,8.0,,No,No,Yes,0.156
C-0917,CP-006,,,84.12,,9.52,,Yes,No,No,0.28600000000000003
C-0927,CP-001,57.15,27.76,,,22.0,,No,Yes,Yes,0.765
C-0940,CP-003,66.68,31.75,,,27.0,,Yes,No,Yes,0.851
C-0941,CP-001,57.15,27.76,,,24.0,,Yes,No,Yes,0.81
C-0942,CP-003,57.15,27.76,,,24.0,,Yes,No,Yes,0.665
C-0944,CP-001,50.8,23.8,,,19.0,,Yes,No,Yes,0.493
C-0946,CP-001,66.7,31.8,,,27.0,,No,No,Yes,1.022
C-0959,CP-001,57.15,27.76,,,25.0,,No,No,Yes,0.748
C-0960,CP-003,57.15,27.76,,,24.0,,No,No,Yes,0.691
C-0961,CP-003,50.8,23.8,,,19.0,,No,No,Yes,0.41200000000000003
C-0966,CP-004,158.8,,,,38.0,,No,Yes,Yes,1.535
C-0970,CP-001,66.68,31.75,,52.0,27.0,,Yes,No,Yes,0.001
C-0973,CP-006,,,50.8,15.0,8.0,,Yes,No,No,0.095
C-0976,CP-001,66.7,31.8,,,25.0,,Yes,Yes,Yes,0.963
C-0977,CP-004,85.0,,,,14.0,,Yes,No,Yes,0.28800000000000003
C-0978,CP-003,88.9,50.8,,,36.5,,No,No,Yes,1.98
C-0994,CP-003,52.37,26.19,,,36.5,,No,Yes,Yes,0.877
C-1005,CP-002,66.68,31.75,,,36.5,MJ-003,No,No,Yes,1.1840000000000002
C-1014,CP-004,76.2,,,,50.0,,Yes,Yes,Yes,1.3519999999999999
C-1066,CP-004,38.1,,,,13.0,,No,No,Yes,9.693
C-1071,CP-004,76.2,,,,8.0,,Yes,No,Yes,0.165
C-1113,CP-006,,,71.42,,9.53,,Yes,No,No,0.249
C-1115,CP-003,95.4,95.4,,,22.0,,No,No,Yes,1.97
C-1145,CP-006,,,50.8,,8.0,,Yes,No,No,0.07
C-1203,CP-003,130.2,77.8,,,22.35,,Yes,No,Yes,1.835
C-1207,CP-007,,,50.8,,8.0,MJ-001,Yes,No,No,0.172
C-1210,CP-002,58.72,30.18,,,36.5,MJ-003,Yes,No,Yes,0.976
C-1212,CP-002,77.8,42.9,,,36.5,MJ-003,No,No,Yes,1.815
C-1224,CP-003,47.63,22.23,,,25.0,,No,No,Yes,0.081
C-1234,CP-004,82.55,,,,25.14,,Yes,No,Yes,0.5329999999999999
C-1235,CP-002,52.4,26.2,,,28.0,MJ-001,Yes,No,Yes,0.562
C-1236,CP-002,58.7,30.2,,,28.0,MJ-001,Yes,No,Yes,0.7709999999999999
C-1242,CP-006,,,71.4,22.22,9.53,,Yes,No,No,0.233
C-1245,CP-003,52.37,26.19,,,10.41,,Yes,No,Yes,0.223
C-1314,CP-004,95.25,,,,14.0,,No,No,Yes,0.405
C-1315,CP-003,58.72,30.18,,,18.79,,Yes,No,Yes,
C-1326,CP-001,57.15,27.76,,30.0,15.0,,Yes,No,Yes,0.419
C-1328,CP-001,50.8,23.8,,30.0,15.0,,No,No,Yes,0.38299999999999995
C-1329,CP-001,50.8,23.8,,30.0,15.0,,Yes,No,Yes,0.34600000000000003
C-1342,CP-006,,,50.8,,8.0,,Yes,No,No,0.098
C-1343,CP-006,,,38.0,,6.73,,Yes,No,No,0.059000000000000004
C-1344,CP-006,,,44.45,19.05,8.0,,Yes,No,No,0.136
C-1346,CP-006,,,50.8,,8.0,,Yes,No,No,0.131
C-1347,CP-006,,,44.45,,8.0,,Yes,No,No,0.59
C-1351,CP-004,63.6,,,,12.7,,Yes,No,Yes,0.174
C-1352,CP-004,79.38,,,,9.53,,No,No,Yes,2.56
C-1354,CP-004,79.38,,,,9.27,,No,No,Yes,0.2
C-1357,CP-003,79.38,79.38,,,12.0,,No,No,Yes,0.62
C-1365,CP-004,50.8,,,,14.0,,No,Yes,Yes,0.10400000000000001
C-1368,CP-004,44.45,,,,11.0,,Yes,No,Yes,0.09300000000000001
C-1370,CP-004,79.36,,,,25.0,,Yes,No,Yes,0.598
C-1373,CP-004,52.37,,,,12.0,,Yes,No,Yes,0.11800000000000001
C-1376,CP-004,50.8,,,,16.0,,Yes,No,Yes,0.16399999999999998
C-1390,CP-003,58.72,30.18,,,19.05,,Yes,No,Yes,0.494
C-1392,CP-004,41.28,,,,8.74,,No,No,Yes,0.077
C-1394,CP-006,,,50.8,,8.0,,Yes,No,No,0.209
C-1407,CP-003,58.72,30.18,,,28.0,,No,No,Yes,
C-1408,CP-003,47.62,22.23,,,28.0,,No,No,Yes,0.24
C-1412,CP-003,106.4,61.93,,,18.26,,Yes,No,Yes,1.327
C-1413,CP-003,120.7,69.9,,,18.8,,Yes,No,Yes,1.45
C-1415,CP-004,50.8,,,,15.9,,Yes,No,Yes,0.127
C-1418,CP-004,50.8,,,,9.53,,No,No,Yes,0.11
C-1427,CP-003,69.9,35.7,,,15.75,,Yes,No,Yes,0.586
C-1430,CP-003,47.6,22.2,,,15.7,,No,No,Yes,0.34
C-1433,CP-002,52.4,26.2,,,28.0,MJ-001,No,No,Yes,0.614
C-1434,CP-003,47.63,22.23,,,18.29,,No,No,Yes,0.35
C-1440,CP-002,77.8,42.9,,,28.0,MJ-001,No,No,Yes,1.171
C-1444,CP-002,106.38,61.93,,,28.0,MJ-001,Yes,No,Yes,2.021
C-1446,CP-002,66.7,31.8,,,36.5,MJ-003,Yes,No,Yes,1.273
C-1447,CP-002,47.63,22.23,,,28.0,MJ-001,Yes,No,Yes,0.429
C-1448,CP-002,47.63,22.23,,,28.0,MJ-001,No,No,Yes,0.465
C-1449,CP-007,,,101.6,,9.52,MJ-001,Yes,No,No,0.42
C-1450,CP-002,77.77,42.88,,,28.0,MJ-001,Yes,No,Yes,1.213
C-1451,CP-007,,,101.6,,9.53,MJ-001,Yes,No,No,0.35
C-1454,CP-002,69.85,35.71,,,36.5,MJ-003,Yes,No,Yes,1.4140000000000001
C-1455,CP-002,79.4,36.5,,,36.5,MJ-003,No,No,Yes,2.072
C-1456,CP-002,79.38,36.5,,,50.0,MJ-003,No,Yes,Yes,2.465
C-1457,CP-002,66.7,31.8,,,36.5,MJ-003,No,No,Yes,1.449
C-1458,CP-002,79.38,36.5,,,36.5,MJ-003,No,No,Yes,1.993
C-1459,CP-002,69.9,35.7,,,36.5,MJ-003,Yes,No,Yes,1.354
C-1460,CP-002,69.9,35.7,,,36.5,MJ-003,Yes,No,Yes,1.23
C-1461,CP-002,58.72,30.18,,,28.0,MJ-001,No,No,Yes,0.851
C-1462,CP-002,79.4,36.5,,,36.5,MJ-003,Yes,No,Yes,2.0669999999999997
C-1463,CP-002,77.8,42.9,,,36.5,MJ-003,Yes,No,Yes,1.725
C-1464,CP-002,66.68,31.75,,,36.5,MJ-003,Yes,No,Yes,1.3730000000000002
C-1465,CP-002,77.8,42.9,,,36.5,MJ-003,No,No,Yes,1.811
C-1467,CP-002,50.8,23.8,,,36.5,MJ-003,Yes,No,Yes,0.765
C-1471,CP-002,52.4,26.2,,,36.5,MJ-003,Yes,No,Yes,0.784
C-1482,CP-007,,,50.8,,14.2,MJ-001,Yes,No,No,0.14
C-1484,CP-002,58.7,30.2,,,36.5,MJ-003,Yes,No,Yes,0.907
C-1487,CP-002,77.77,42.88,,,36.5,MJ-003,No,No,Yes,1.5290000000000001
C-1492,CP-004,50.8,,,,8.64,,No,No,Yes,0.091
C-1493,CP-006,,,38.1,19.05,6.73,,Yes,No,No,0.09
C-1494,CP-007,,,44.45,,8.0,MJ-001,Yes,No,No,0.11900000000000001
C-1495,CP-007,,,44.45,,8.0,MJ-001,Yes,No,No,0.106
C-1501,CP-003,106.4,61.9,,,18.0,,Yes,No,Yes,1.2
C-1513,CP-004,127.0,,,,15.07,,No,No,Yes,
C-1518,CP-004,64.29,,,,10.0,,No,No,Yes,0.2
C-1520,CP-003,77.8,42.9,,,8.0,,No,No,Yes,0.6
C-1534,CP-003,88.9,88.9,,,16.0,,No,No,Yes,0.654
C-1543,CP-004,53.98,,,,13.46,,Yes,No,Yes,0.22699999999999998
C-1544,CP-007,,,50.8,25.5,8.0,MJ-001,Yes,No,No,0.133
C-1545,CP-006,,,84.12,17.5,9.53,,Yes,No,No,0.244
C-1549,CP-004,44.45,,,,9.11,,No,No,Yes,0.12
C-1551,CP-006,,,60.32,,8.0,,Yes,No,No,0.136
C-1552,CP-003,52.37,26.19,,,15.0,,No,No,Yes,0.354
C-1553,CP-006,,,60.35,,8.0,,Yes,No,No,0.17600000000000002
C-1555,CP-004,52.37,,,,10.0,,No,No,Yes,0.09
C-1568,CP-003,88.9,88.9,,,14.0,,No,No,Yes,1.0
C-1590,CP-002,79.38,36.5,,,36.5,MJ-003,Yes,No,Yes,1.966
C-1591,CP-002,47.6,22.2,,,28.0,MJ-001,No,No,Yes,0.514
C-1592,CP-002,52.37,26.19,,,36.5,MJ-003,Yes,No,Yes,0.735
C-1594,CP-002,47.63,22.23,,,28.0,MJ-001,Yes,No,Yes,0.469
C-1614,CP-003,130.2,77.8,,,24.38,,Yes,No,Yes,2.35
C-1615,CP-003,120.7,69.9,,,25.14,,Yes,No,Yes,2.1830000000000003
C-1616,CP-002,52.4,26.2,,,36.5,MJ-003,Yes,No,Yes,0.799
C-1617,CP-002,77.77,42.88,,,36.5,MJ-003,Yes,No,Yes,1.845
C-1665,CP-003,69.9,35.7,,,15.5,,Yes,No,Yes,0.685
C-1670,CP-004,56.0,,,,8.0,,No,No,Yes,0.079
C-1673,CP-004,57.15,,,,9.0,,No,No,Yes,0.187
C-1678,CP-004,60.0,,,,8.0,,No,Yes,Yes,0.07
C-1680,CP-004,70.0,,,,10.0,,No,No,Yes,0.28
C-1682,CP-003,77.77,42.88,,,24.64,,Yes,No,Yes,1.095
C-1683,CP-003,58.72,30.18,,,14.99,,Yes,No,Yes,0.424
C-1684,CP-003,52.37,26.19,,,15.0,,Yes,No,Yes,
C-1685,CP-003,77.77,42.88,,,24.64,,No,No,Yes,1.167
C-1687,CP-003,106.38,61.93,,,19.05,,Yes,No,Yes,1.579
C-1705,CP-001,57.15,27.76,,,45.0,,No,Yes,Yes,1.31
C-1706,CP-002,77.8,42.9,,,28.0,MJ-001,Yes,No,Yes,1.413
C-1711,CP-006,,,38.1,,6.73,,Yes,No,No,0.045
C-1712,CP-006,,,50.8,14.22,8.0,,Yes,No,No,0.331
C-1713,CP-007,,,63.3,,12.7,MJ-007,No,Yes,No,0.26
C-1717,CP-007,,,60.32,,8.0,MJ-003,Yes,No,No,0.243
C-1719,CP-004,57.15,,,,11.94,,Yes,No,Yes,0.165
C-1720,CP-007,,,50.8,,8.0,MJ-001,Yes,No,No,0.135
C-1721,CP-007,,,60.32,,8.0,MJ-001,Yes,No,No,0.34
C-1734,CP-004,63.5,,,,12.7,,Yes,No,Yes,0.327
C-1736,CP-004,38.1,,,,8.38,,No,No,Yes,0.045
C-1739,CP-004,52.3,,,,10.0,,No,No,Yes,0.107
C-1740,CP-004,44.45,,,,10.0,,No,No,Yes,0.084
C-1746,CP-002,88.9,50.8,,,28.0,MJ-001,No,No,Yes,1.585
C-1747,CP-002,88.9,50.8,,,28.0,MJ-001,Yes,No,Yes,1.4240000000000002
C-1749,CP-004,38.1,,,,9.0,,No,No,Yes,0.07
C-1750,CP-004,50.8,,,,8.0,,No,No,Yes,0.067
C-1762,CP-002,88.9,50.8,,,36.5,MJ-003,Yes,No,Yes,2.237
C-1763,CP-002,58.72,30.18,,,36.5,MJ-003,No,No,Yes,1.013
C-1768,CP-001,66.68,31.75,,40.0,20.0,,No,No,Yes,0.7829999999999999
C-1770,CP-001,66.68,31.75,,40.0,20.0,,Yes,No,Yes,0.7190000000000001
C-1771,CP-003,77.8,42.0,,,18.0,,Yes,No,Yes,0.623
C-1772,CP-001,79.38,36.5,,45.0,25.0,,Yes,No,Yes,1.239
C-1773,CP-001,79.7,36.5,,45.0,25.0,,No,No,Yes,1.3130000000000002
C-1775,CP-001,50.8,23.8,,,16.0,,Yes,No,Yes,0.355
C-1784,CP-001,79.38,36.5,,,25.0,,No,No,Yes,1.5619999999999998
C-1785,CP-001,47.63,22.22,,30.0,16.0,,Yes,No,Yes,0.243
C-1792,CP-001,57.2,27.8,,30.0,15.0,,No,No,Yes,0.371
C-1795,CP-002,52.4,26.2,,,36.5,MJ-003,Yes,No,Yes,0.65
C-1796,CP-002,69.85,35.71,,,36.5,MJ-003,Yes,No,Yes,1.453
C-1798,CP-002,47.63,22.23,,,36.5,MJ-003,No,No,Yes,0.18
C-1801,CP-002,47.6,22.2,,,36.5,MJ-003,No,No,Yes,0.597
C-1804,CP-005,76.2,,,,36.5,MJ-003,Yes,No,Yes,0.977
C-1805,CP-002,52.4,26.2,,,36.5,MJ-003,No,No,Yes,0.87
C-1806,CP-002,47.6,22.2,,,36.5,MJ-003,No,No,Yes,0.6609999999999999
C-1807,CP-002,52.37,26.19,,,50.0,MJ-001,Yes,Yes,Yes,0.428
C-1811,CP-003,88.9,50.8,,,19.05,,No,No,Yes,0.95
C-1834,CP-004,127.0,,,,18.29,,No,No,Yes,0.575
C-1843,CP-003,52.4,26.2,,,19.05,,Yes,No,Yes,0.36700000000000005
C-1849,CP-004,56.9,,,,9.52,,No,No,Yes,0.168
C-1854,CP-004,52.32,,,,10.0,,No,No,Yes,0.305
C-1855,CP-004,52.32,,,,10.0,,No,Yes,Yes,0.1
C-1880,CP-002,52.37,26.19,,,36.5,MJ-003,No,No,Yes,0.799
C-1881,CP-002,58.7,30.2,,,36.5,MJ-003,No,No,Yes,0.9740000000000001
C-1882,CP-002,69.9,35.7,,,36.5,MJ-003,No,No,Yes,1.435
C-1883,CP-002,69.9,35.7,,,36.5,MJ-003,No,No,Yes,1.3159999999999998
C-1884,CP-002,52.4,26.2,,,36.5,MJ-003,No,No,Yes,0.716
C-1886,CP-002,58.72,30.18,,,36.5,MJ-003,No,No,Yes,1.073
C-1887,CP-002,58.7,30.2,,,36.5,MJ-003,No,No,Yes,1.026
C-1890,CP-002,69.85,35.71,,,36.5,MJ-003,No,No,Yes,1.4869999999999999
C-1893,CP-002,58.7,30.2,,,36.5,MJ-003,Yes,No,Yes,1.0090000000000001
C-1894,CP-007,,,71.42,24.0,9.52,MJ-001,Yes,No,No,0.166
C-1895,CP-002,47.6,22.2,,,36.5,MJ-003,No,No,Yes,0.632
C-1897,CP-006,,,50.8,18.0,8.0,,Yes,No,No,0.212
C-1900,CP-007,,,60.32,36.5,14.2,MJ-003,Yes,No,No,0.469
C-1901,CP-002,52.37,26.19,,,36.0,MJ-003,No,No,Yes,0.7909999999999999
C-1904,CP-002,77.77,42.9,,,36.5,MJ-003,No,No,Yes,1.6740000000000002
C-1943,CP-004,76.2,,,,15.0,,Yes,No,Yes,0.28800000000000003
C-1946,CP-003,88.9,50.8,,,16.0,,Yes,No,Yes,0.527
C-1947,CP-003,106.4,61.93,,,15.9,,Yes,No,Yes,1.271
C-1953,CP-004,63.5,,,,6.1,,No,No,Yes,0.1
C-1956,CP-004,38.1,,,,9.14,,No,No,Yes,0.066
C-1958,CP-003,77.8,42.9,,,12.0,,Yes,No,Yes,0.52
C-1983,CP-004,65.0,,,,12.5,,Yes,No,Yes,1.2
C-1986,CP-003,106.4,61.9,,,18.3,,Yes,No,Yes,0.741
C-1996,CP-004,73.0,,,,20.0,,Yes,No,Yes,0.275
C-1997,CP-002,58.7,30.2,,,36.5,MJ-003,Yes,No,Yes,1.094
C-1999,CP-007,,,38.1,25.5,6.73,MJ-001,Yes,No,No,0.079
C-2000,CP-002,106.4,61.9,,,28.0,MJ-001,Yes,No,Yes,2.135
C-2009,CP-002,52.37,26.19,,,36.5,MJ-003,No,No,Yes,0.7090000000000001
C-2015,CP-002,88.9,50.8,,,36.5,MJ-003,No,No,Yes,1.734
