supplier,supplier_sum,supplier_1982,supplier_1985,supplier_1987,supplier_1988,supplier_1989,supplier_1991,supplier_1992,supplier_1993,supplier_1994,supplier_1995,supplier_1996,supplier_1997,supplier_1998,supplier_1999,supplier_2000,supplier_2001,supplier_2002,supplier_2003,supplier_2004,supplier_2005,supplier_2006,supplier_2007,supplier_2008,supplier_2009,supplier_2010,supplier_2011,supplier_2012,supplier_2013,supplier_2014,supplier_2015,supplier_2016,supplier_2017
S-0070,1312257,,,,,,,,,,,,,,,,,249,,903000,,10175,625,267318,84376,,6500,25,37482,2507,,,
S-0072,9137728,,,,0,,,,,37,200,15,371,422,2115,6378,40541,23175,24805,9417,8442,265573,165536,253036,100882,36090,1233920,2206135,4555639,203799,576,624,
S-0073,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,
S-0074,288,,,,,,,,,,,,,,,,,0,,,,,3,,,,,,285,,,,
S-0076,45000,,,,,,,,,,,,,,,,,,,,,,,,,,,,45000,,,,
S-0077,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,,,,
S-0078,23,,,,,,,,,,,,,,,,,,,,,,,,,,20,,3,,,,
S-0080,279,,,,,,,,,,,,,,,,,,,,,,0,,43,,,,43,193,,,
S-0081,579135,,,,,,,,,,,,,,,,45,,2545,900,,988,5000,10,24031,14327,3531,4179,212498,311081,,,
S-0087,2444,,,,,,,,,,,,,,,,,,,,,,,,2444,,,,,,,,
S-0088,10327,,,,,,,,,,,,,,,,,,,,,,,,,,,4279,,6048,,,
S-0090,28500,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,28500,,,
S-0091,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
S-0092,134724,,,,,,,,,,,,,,,,,,,,,,,,,,38,64352,64034,6300,,,
S-0095,400,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,
S-0096,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
S-0097,9,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,
S-0104,120323,,,,,,,,,,,,,,,,,,,,,,,,,,66,101400,18278,579,,,
S-0105,52851,,,,,,,,,,,,,,,,,,,,,,,,,14711,758,1109,7622,28651,,,
S-0106,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625,,,
S-0107,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
S-0108,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,
S-0109,106000,,,,,,,,,,,,,,,,,,,,,,,,,,,,106000,,,,
S-0111,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996,,,
