tube_assembly_id,quantity_range_min,quantity_range_max,price_band_count,bracket_yes_count,bracket_no_count
TA-00211,1,1,1,0,1
TA-00212,1,1,1,0,1
TA-00213,1,1,2,2,0
TA-00214,1,1,1,0,1
TA-00215,1,1,1,0,1
TA-00216,1,1,1,1,0
TA-00217,1,2,2,2,0
TA-00218,1,1,1,0,1
TA-00219,1,1,1,0,1
TA-00220,1,10,4,4,0
TA-00221,1,1,1,0,1
TA-00222,1,250,8,8,0
TA-00224,1,20,3,3,0
TA-00225,1,1,1,0,1
TA-00226,8,36,4,4,0
TA-00227,15,45,5,5,0
TA-00228,1,1,2,2,0
TA-00229,5,5,1,0,1
TA-00230,1,1,1,1,0
TA-00238,1,1,1,0,1
TA-00239,1,1,2,2,0
TA-00240,1,1,1,0,1
TA-00241,10,10,1,0,1
TA-00242,1,20,3,3,0
TA-00243,1,1,1,0,1
TA-00244,1,1,1,0,1
TA-00245,1,1,1,0,1
TA-00246,1,1,1,0,1
TA-00247,1,1,1,0,1
TA-00248,1,1,1,0,1
TA-00249,1,250,8,8,0
TA-00251,4,8,2,2,0
TA-00252,2,4,3,3,0
TA-00253,4,10,4,4,0
TA-00254,1,1,1,0,1
TA-00255,1,1,1,0,1
TA-00257,1,250,8,8,0
TA-00258,1,250,8,8,0
TA-00259,1,250,8,8,0
TA-00260,1,250,8,8,0
TA-00261,1,250,8,8,0
TA-00262,1,250,8,8,0
TA-00263,1,250,8,8,0
TA-00264,1,250,8,8,0
TA-00265,1,250,8,8,0
TA-00266,1,20,6,6,0
TA-00267,1,20,5,5,0
TA-00268,1,1,1,1,0
TA-00269,1,1,1,1,0
TA-00270,1,250,8,8,0
TA-00271,1,9,5,5,0
TA-00272,3,3,1,0,1
TA-00273,1,50,6,6,0
TA-00274,1,50,6,6,0
TA-00275,5,12,4,4,0
TA-00276,1,250,8,8,0
TA-00277,1,10,4,4,0
TA-00278,30,120,4,4,0
TA-00279,1,250,8,8,0
TA-00280,1,10,5,5,0
TA-00281,20,20,1,0,1
TA-00282,1,1,1,0,1
TA-00283,1,1,1,0,1
TA-00284,4,16,4,4,0
TA-00285,20,20,1,0,1
TA-00286,145,145,1,0,1
TA-00287,20,20,1,0,1
TA-00288,20,20,1,0,1
TA-00289,1,1,1,0,1
TA-00292,1,5,3,3,0
TA-00293,1,250,8,8,0
TA-00294,1,250,8,8,0
TA-00295,1,20,3,3,0
TA-00296,1,250,8,8,0
TA-00297,1,250,8,8,0
TA-00298,1,250,8,8,0
TA-00299,1,20,3,3,0
TA-00300,1,10,3,3,0
TA-00303,1,17,2,2,0
TA-00304,10,10,1,0,1
TA-00305,1,4,4,4,0
TA-00306,1,1,1,0,1
TA-00307,20,20,1,0,1
TA-00308,1,250,8,8,0
TA-00309,1,1,1,1,0
TA-00310,1,1,1,0,1
TA-00311,1,250,8,8,0
TA-00312,1,250,8,8,0
TA-00313,1,250,8,8,0
TA-00314,1,250,8,8,0
TA-00315,1,250,8,8,0
TA-00316,1,1,2,2,0
TA-00319,1,250,8,8,0
TA-00320,1,50,6,6,0
TA-00321,1,50,6,6,0
TA-00322,1,250,8,8,0
TA-00323,1,20,5,5,0
TA-00324,1,1,1,0,1
TA-00325,1,40,5,5,0
TA-00326,1,16,5,5,0
TA-00327,6,50,4,4,0
TA-00328,2,8,4,4,0
TA-00329,2,8,4,4,0
TA-00330,2,8,4,4,0
TA-00331,1,1,1,0,1
TA-00332,1,1,1,0,1
TA-00334,1,250,8,8,0
TA-00335,1,250,8,8,0
TA-00336,1,250,8,8,0
TA-00337,1,250,8,8,0
TA-00338,1,250,8,8,0
TA-00339,1,250,8,8,0
TA-00340,1,1,2,2,0
TA-00341,2,30,8,8,0
TA-00342,1,20,7,7,0
TA-00348,1,1,1,0,1
TA-00349,15,50,6,6,0
TA-00350,1,1,1,0,1
TA-00351,1,1,1,0,1
TA-00352,1,1,1,0,1
TA-00353,1,1,1,0,1
TA-00354,1,1,1,0,1
TA-00355,1,1,1,1,0
TA-00356,1,1,1,0,1
TA-00357,1,1,1,0,1
TA-00358,1,1,1,0,1
TA-00362,1,20,6,6,0
TA-00363,1,20,6,6,0
TA-00364,1,10,5,5,0
TA-00365,1,1,1,0,1
TA-00366,2,10,2,2,0
TA-00367,5,20,4,4,0
TA-00368,5,25,5,5,0
TA-00369,1,50,5,5,0
TA-00370,1,250,8,8,0
TA-00371,18,72,4,4,0
TA-00372,75,75,1,0,1
TA-00373,5,25,3,3,0
TA-00374,50,50,1,0,1
TA-00375,1,32,4,4,0
TA-00376,1,1,1,0,1
TA-00377,4,16,4,4,0
TA-00378,50,50,1,0,1
TA-00380,1,250,8,8,0
TA-00381,1,50,6,6,0
TA-00383,1,50,6,6,0
TA-00384,20,45,6,6,0
TA-00385,25,50,2,2,0
TA-00386,1,250,8,8,0
TA-00387,1,99,7,7,0
TA-00388,1,250,8,8,0
TA-00390,1,10,4,4,0
TA-00391,1,10,4,4,0
TA-00392,1,30,6,6,0
TA-00393,1,10,4,4,0
TA-00394,1,250,8,8,0
TA-00395,1,250,8,8,0
TA-00398,1,1,1,0,1
TA-00399,1,1,1,0,1
TA-00400,1,1,1,0,1
TA-00401,1,1,1,0,1
TA-00402,1,1,1,0,1
TA-00403,2,6,3,3,0
TA-00404,1,1,1,0,1
TA-00407,20,20,1,0,1
TA-00408,1,16,5,5,0
TA-00409,1,4,4,4,0
TA-00410,1,1,1,0,1
TA-00411,100,100,1,0,1
TA-00412,1,1,2,2,0
TA-00413,2,8,4,4,0
TA-00414,1,1,1,0,1
TA-00415,1,1,1,1,0
TA-00416,1,1,1,0,1
TA-00417,1,1,1,0,1
TA-00418,25,25,1,1,0
TA-00419,25,25,1,1,0
TA-00420,25,25,1,1,0
TA-00421,25,25,1,1,0
TA-00422,25,25,1,1,0
TA-00423,25,25,1,1,0
TA-00424,25,25,1,1,0
TA-00425,25,25,1,1,0
TA-00426,25,25,1,1,0
TA-00427,25,25,1,1,0
TA-00428,25,25,1,1,0
TA-00429,25,25,1,1,0
TA-00430,1,1,1,0,1
TA-00431,1,1,1,0,1
TA-00432,2,20,5,5,0
TA-00433,1,5,4,4,0
TA-00434,1,32,5,5,0
TA-00435,1,20,3,3,0
TA-00436,1,1,1,0,1
TA-00437,1,250,8,8,0
TA-00438,1,250,8,8,0
TA-00439,1,250,8,8,0
TA-00440,1,250,8,8,0
TA-00441,1,250,8,8,0
TA-00443,1,250,8,8,0
TA-00446,1,1,1,0,1
TA-00447,1,1,2,2,0
TA-00448,1,1,2,2,0
TA-00449,1,1,2,2,0
TA-00450,1,1,1,0,1
TA-00451,10,25,4,4,0
TA-00452,1,1,1,1,0
TA-00453,5,20,4,4,0
TA-00454,5,5,1,0,1
TA-00455,1,5,5,5,0
TA-00458,1,250,8,8,0
TA-00459,1,250,8,8,0
TA-00460,1,250,8,8,0
TA-00461,1,250,8,8,0
TA-00462,1,250,8,8,0
TA-00463,1,250,8,8,0
TA-00464,1,250,8,8,0
TA-00465,1,1,1,0,1
TA-00466,1,1,1,0,1
TA-00467,1,1,1,1,0
TA-00468,2,8,4,4,0
TA-00469,1,1,1,0,1
TA-00470,2,20,5,5,0
TA-00471,1,250,8,8,0
TA-00472,1,250,8,8,0
TA-00473,1,5,5,5,0
TA-00474,1,20,5,5,0
TA-00475,2,2,1,0,1
TA-00484,25,25,1,0,1
TA-00485,1,1,1,0,1
TA-00486,1,1,1,0,1
TA-00487,1,1,1,1,0
TA-00488,1,250,8,8,0
TA-00489,1,250,8,8,0
TA-00490,1,250,8,8,0
TA-00491,1,250,8,8,0
TA-00492,1,250,8,8,0
TA-00493,1,250,8,8,0
TA-00494,1,250,8,8,0
TA-00495,1,250,8,8,0
TA-00496,1,250,8,8,0
TA-00497,1,250,8,8,0
TA-00498,1,250,8,8,0
TA-00499,1,250,8,8,0
TA-00500,1,250,8,8,0
TA-00501,1,1,2,2,0
TA-00502,1,1,2,2,0
TA-00503,1,1,1,1,0
TA-00504,1,1,1,0,1
TA-00505,1,1,3,3,0
TA-00506,1,1,4,4,0
TA-00507,1,1,1,0,1
TA-00511,1,250,8,8,0
TA-00512,1,250,8,8,0
TA-00513,1,250,8,8,0
TA-00514,1,250,8,8,0
TA-00515,1,250,8,8,0
TA-00516,1,250,8,8,0
TA-00517,1,20,3,3,0
TA-00518,1,1,1,0,1
TA-00519,25,25,1,0,1
TA-00520,1,20,3,3,0
TA-00522,1,1,2,2,0
TA-00527,1,20,3,3,0
TA-00528,1,1,1,0,1
TA-00529,1,1,1,0,1
TA-00530,1,5,3,3,0
TA-00531,1,1,1,1,0
TA-00532,1,5,4,4,0
TA-00533,1,1,1,1,0
TA-00534,1,1,1,0,1
TA-00538,1,250,8,8,0
TA-00539,1,250,8,8,0
TA-00540,1,1,1,0,1
TA-00541,2,10,5,5,0
TA-00542,1,1,1,0,1
TA-00543,50,50,1,0,1
TA-00544,1,250,8,8,0
TA-00545,1,250,8,8,0
TA-00546,1,250,8,8,0
TA-00547,1,1,2,2,0
TA-00548,1,1,1,0,1
TA-00549,1,206,3,3,0
TA-00554,3,10,3,3,0
TA-00555,3,5,3,3,0
TA-00556,1,1,1,0,1
TA-00557,1,250,8,8,0
TA-00562,1,4,4,4,0
TA-00563,1,1,1,0,1
TA-00566,1,1,1,0,1
TA-00567,1,4,4,4,0
TA-00568,1,1,1,0,1
TA-00569,1,250,8,8,0
TA-00570,1,250,8,8,0
TA-00571,3,3,1,0,1
TA-00572,20,80,4,4,0
TA-00586,1,250,8,8,0
TA-00587,1,1,1,0,1
TA-00589,25,100,4,4,0
TA-00590,1,1,1,0,1
TA-00591,10,20,3,3,0
TA-00593,1,250,8,8,0
TA-00594,1,250,8,8,0
TA-00595,2,20,5,5,0
TA-00596,1,1,1,0,1
TA-00600,1,1,1,0,1
TA-00601,1,1,1,0,1
TA-00602,1,1,1,0,1
TA-00604,2,8,4,4,0
TA-00606,1,1,1,0,1
TA-00607,1,1,1,0,1
TA-00608,1,4,4,4,0
TA-00609,1,20,3,3,0
TA-00610,1,250,8,8,0
TA-00611,1,250,8,8,0
TA-00612,10,10,1,0,1
TA-00613,2,10,3,3,0
TA-00614,1,250,8,8,0
TA-00615,1,1,1,0,1
TA-00616,1,1,1,0,1
TA-00617,1,1,3,3,0
TA-00618,1,1,1,0,1
TA-00619,1,1,1,0,1
TA-00620,1,1,1,0,1
TA-00621,1,20,3,3,0
TA-00622,1,20,3,3,0
TA-00623,1,20,3,3,0
TA-00624,1,1,1,0,1
TA-00625,1,1,1,1,0
TA-00626,1,20,3,3,0
TA-00632,5,20,4,4,0
TA-00637,1,1,1,0,1
TA-00638,3,10,4,4,0
TA-00641,120,120,1,0,1
TA-00642,1,1,1,0,1
TA-00643,1,250,8,8,0
TA-00644,1,250,8,8,0
TA-00645,1,250,8,8,0
TA-00646,1,30,6,6,0
TA-00647,3,12,4,4,0
TA-00650,1,250,8,8,0
TA-00651,10,10,1,0,1
TA-00652,1,1,1,0,1
TA-00653,10,100,4,4,0
TA-00654,1,1,2,2,0
TA-00655,1,250,8,8,0
TA-00656,1,250,8,8,0
TA-00657,50,50,1,0,1
TA-00659,10,10,1,0,1
TA-00660,1,250,8,8,0
TA-00661,1,250,8,8,0
TA-00662,1,250,8,8,0
TA-00663,1,1,1,1,0
TA-00664,1,1,1,0,1
TA-00665,1,1,1,0,1
TA-00666,1,1,1,0,1
TA-00667,1,1,1,0,1
TA-00668,1,1,1,0,1
TA-00669,1,1,1,0,1
TA-00670,1,1,1,0,1
TA-00671,1,1,1,0,1
TA-00672,1,1,1,0,1
TA-00673,1,1,2,2,0
TA-00674,1,1,1,1,0
TA-00675,1,1,1,0,1
TA-00677,1,250,8,8,0
TA-00678,1,250,8,8,0
TA-00679,1,250,8,8,0
TA-00680,1,250,8,8,0
TA-00681,1,250,8,8,0
TA-00682,1,250,8,8,0
TA-00688,1,250,8,8,0
TA-00690,1,4,4,4,0
TA-00691,1,100,7,7,0
TA-00692,1,1,1,0,1
TA-00693,1,1,1,0,1
TA-00694,1,1,1,0,1
TA-00695,1,250,8,8,0
TA-00696,1,250,8,8,0
TA-00697,1,250,8,8,0
TA-00698,1,250,8,8,0
TA-00702,1,1,1,0,1
TA-00703,1,1,1,0,1
TA-00704,1,1,1,0,1
TA-00707,100,100,1,0,1
TA-00708,100,100,1,0,1
TA-00709,1,250,8,8,0
TA-00710,1,4,4,4,0
TA-00711,1,1,1,0,1
TA-00713,1,250,8,8,0
TA-00714,10,10,1,0,1
TA-00715,3,9,4,4,0
TA-00716,1,4,4,4,0
TA-00717,1,250,8,8,0
TA-00718,1,250,8,8,0
TA-00719,1,250,8,8,0
TA-00720,50,50,1,0,1
TA-00721,2,8,4,4,0
TA-00722,48,48,1,0,1
TA-00723,1,250,8,8,0
TA-00724,80,160,3,3,0
TA-00725,1,250,8,8,0
TA-00726,1,250,8,8,0
TA-00729,1,1,1,0,1
TA-00730,1,1,2,2,0
TA-00731,1,250,8,8,0
TA-00732,1,1,1,0,1
TA-00733,1,250,8,8,0
TA-00736,1,250,8,8,0
TA-00737,1,250,8,8,0
TA-00738,1,250,8,8,0
TA-00739,5,9,3,3,0
TA-00740,1,250,8,8,0
TA-00741,1,250,8,8,0
TA-00742,1,250,8,8,0
TA-00744,1,250,9,9,0
TA-00745,1,1,1,0,1
TA-00746,20,20,1,0,1
TA-00747,1,250,8,8,0
TA-00748,5,25,3,3,0
TA-00749,1,20,3,3,0
TA-00753,4,16,4,4,0
TA-00754,30,30,1,0,1
TA-00755,30,30,1,0,1
TA-00756,1,250,8,8,0
TA-00757,1,250,8,8,0
TA-00758,1,20,3,3,0
TA-00759,1,250,8,8,0
TA-00760,1,250,8,8,0
TA-00761,1,250,8,8,0
TA-00762,1,250,8,8,0
TA-00763,1,250,8,8,0
TA-00764,1,250,8,8,0
TA-00765,1,1,1,0,1
TA-00766,1,250,8,8,0
TA-00767,1,250,8,8,0
TA-00768,1,250,8,8,0
TA-00770,1,250,8,8,0
TA-00771,1,50,5,5,0
TA-00772,1,20,6,6,0
TA-00773,1,20,6,6,0
TA-00774,1,1,1,0,1
TA-00775,1,250,8,8,0
TA-00776,1,250,8,8,0
TA-00777,1,1,1,0,1
TA-00779,1,250,8,8,0
TA-00782,1,250,8,8,0
TA-00783,3,12,4,4,0
TA-00784,1,250,8,8,0
TA-00787,1,1,1,1,0
TA-00789,1,250,8,8,0
TA-00790,1,250,8,8,0
TA-00791,1,1,1,0,1
TA-00792,1,250,8,8,0
TA-00793,2,10,3,3,0
TA-00794,1,1,1,0,1
TA-00798,1,1,1,0,1
TA-00799,1,1,1,0,1
TA-00800,1,1,1,0,1
TA-00801,1,1,1,0,1
TA-00802,1,1,1,0,1
TA-00803,2,5,4,4,0
TA-00804,1,1,1,1,0
TA-00805,1,1,1,0,1
TA-00806,1,1,1,0,1
TA-00807,1,1,1,0,1
TA-00808,1,250,8,8,0
TA-00809,1,1,1,0,1
TA-00810,1,20,3,3,0
TA-00811,1,1,1,0,1
TA-00812,1,100,7,7,0
TA-00816,1,1,1,0,1
TA-00817,1,1,1,0,1
TA-00818,1,1,1,1,0
TA-00819,1,1,1,1,0
TA-00820,1,1,1,0,1
TA-00821,1,1,2,2,0
TA-00822,1,12,5,5,0
TA-00823,1,1,1,0,1
TA-00824,1,1,1,0,1
TA-00825,1,1,1,0,1
TA-00827,1,1,1,0,1
TA-00828,1,250,8,8,0
TA-00829,1,1,1,0,1
TA-00830,1,1,1,0,1
TA-00831,1,1,2,2,0
TA-00832,1,250,8,8,0
TA-00833,1,250,8,8,0
TA-00834,1,250,8,8,0
TA-00835,5,20,4,4,0
TA-00836,1,4,4,4,0
TA-00837,1,1,1,0,1
TA-00840,1,1,2,2,0
TA-00841,1,1,1,0,1
TA-00842,1,1,2,2,0
TA-00844,1,250,8,8,0
TA-00845,1,250,8,8,0
TA-00846,1,250,8,8,0
TA-00847,1,250,8,8,0
TA-00848,1,1,1,0,1
TA-00849,20,20,1,0,1
TA-00850,1,250,8,8,0
TA-00851,1,250,8,8,0
TA-00852,1,1,1,0,1
TA-00855,1,1,1,0,1
TA-00856,50,50,1,0,1
TA-00858,1,12,5,5,0
TA-00859,1,250,8,8,0
TA-00860,1,1,1,0,1
TA-00861,7,10,2,2,0
TA-00862,1,1,1,0,1
TA-00863,2,4,3,3,0
TA-00864,1,250,8,8,0
TA-00867,1,1,1,0,1
TA-00868,1,1,1,0,1
TA-00869,5,20,4,4,0
TA-00870,24,48,3,3,0
TA-00871,1,1,2,2,0
TA-00872,1,1,1,0,1
TA-00875,1,250,8,8,0
TA-00876,1,250,8,8,0
TA-00877,1,250,8,8,0
TA-00878,1,250,8,8,0
TA-00879,1,250,8,8,0
TA-00883,1,1,1,0,1
TA-00884,1,1,1,0,1
TA-00885,1,250,8,8,0
TA-00886,1,250,8,8,0
TA-00887,1,250,8,8,0
TA-00888,1,250,8,8,0
TA-00889,1,250,8,8,0
TA-00890,1,250,8,8,0
TA-00891,1,250,8,8,0
TA-00898,1,1,1,0,1
TA-00899,1,1,1,0,1
TA-00900,2,5,4,4,0
TA-00901,1,250,8,8,0
TA-00902,1,250,8,8,0
TA-00903,1,1,3,3,0
TA-00904,3,12,4,4,0
TA-00905,1,1,2,2,0
TA-00906,3,15,4,4,0
TA-00907,250,250,1,0,1
TA-00908,1,250,8,8,0
TA-00909,1,4,4,4,0
TA-00910,5,20,3,3,0
TA-00911,1,1,1,0,1
TA-00912,1,1,1,0,1
TA-00914,1,250,8,8,0
TA-00915,1,250,8,8,0
TA-00917,1,1,2,2,0
TA-00918,1,1,2,2,0
TA-00919,1,1,1,1,0
TA-00920,1,250,9,9,0
TA-00921,1,250,8,8,0
TA-00922,1,250,8,8,0
TA-00923,5,20,3,3,0
TA-00924,5,20,3,3,0
TA-00925,1,4,2,2,0
TA-00926,1,1,1,0,1
TA-00927,1,1,1,0,1
TA-00928,1,250,8,8,0
TA-00929,1,250,8,8,0
TA-00930,1,250,8,8,0
TA-00931,1,1,1,0,1
TA-00932,1,1,1,1,0
TA-00933,1,1,1,1,0
TA-00934,1,1,1,1,0
TA-00935,1,1,1,0,1
TA-00936,1,1,1,0,1
TA-00937,1,250,8,8,0
TA-00938,1,1,1,0,1
TA-00941,1,1,1,0,1
TA-00942,1,1,1,0,1
TA-00943,1,20,3,3,0
TA-00944,10,40,4,4,0
TA-00945,1,250,8,8,0
TA-00946,1,250,8,8,0
TA-00947,5,20,4,4,0
TA-00952,3,12,4,4,0
TA-00953,1,1,1,0,1
TA-00954,1,1,1,0,1
TA-00955,1,1,1,0,1
TA-00956,1,1,1,0,1
TA-00957,1,250,8,8,0
TA-00958,1,5,2,2,0
TA-00959,1,1,1,0,1
TA-00960,1,1,1,0,1
TA-00961,1,1,1,0,1
TA-00962,1,1,1,1,0
TA-00963,1,1,1,0,1
TA-00965,1,1,1,0,1
TA-00966,1,1,3,3,0
TA-00967,1,1,1,1,0
TA-00968,1,1,1,0,1
TA-00969,1,1,2,2,0
TA-00970,1,4,4,4,0
TA-00971,1,250,8,8,0
TA-00972,1,250,8,8,0
TA-00973,1,250,8,8,0
TA-00974,3,12,4,4,0
TA-00975,1,250,8,8,0
TA-00976,1,1,1,0,1
TA-00977,3,15,4,4,0
TA-00978,5,20,4,4,0
TA-00979,4,16,4,4,0
TA-00980,1,1,1,0,1
TA-00981,1,250,8,8,0
TA-00982,1,250,8,8,0
TA-00983,1,250,8,8,0
TA-00984,1,250,8,8,0
TA-00985,1,250,8,8,0
TA-00986,1,1,1,0,1
TA-00987,1,1,1,0,1
TA-00988,1,250,8,8,0
TA-00989,1,250,8,8,0
TA-00990,1,250,8,8,0
TA-00991,1,250,8,8,0
TA-00992,1,250,8,8,0
TA-00993,1,250,8,8,0
TA-00994,1,250,8,8,0
TA-00995,1,250,8,8,0
TA-00996,1,250,8,8,0
TA-00997,1,250,8,8,0
TA-00998,1,250,8,8,0
TA-01000,50,50,1,0,1
TA-01001,5,10,2,2,0
TA-01002,5,90,7,7,0
TA-01003,1,1,1,0,1
TA-01004,1,1,1,1,0
TA-01005,1,8,5,5,0
TA-01006,1,250,8,8,0
TA-01007,1,250,8,8,0
TA-01008,1,250,8,8,0
TA-01009,1,250,8,8,0
TA-01010,3,12,4,4,0
TA-01011,1,1,1,1,0
TA-01012,1,1,1,1,0
TA-01013,1,1,1,0,1
TA-01014,1,250,8,8,0
TA-01017,1,1,1,0,1
TA-01018,1,1,1,0,1
TA-01019,1,1,1,0,1
TA-01020,1,1,1,0,1
TA-01021,1,1,2,2,0
TA-01022,1,1,2,2,0
TA-01023,1,1,1,1,0
TA-01024,1,1,1,1,0
TA-01025,1,1,1,0,1
TA-01026,150,600,4,4,0
TA-01027,1,250,8,8,0
TA-01028,1,1,1,0,1
TA-01029,1,20,3,3,0
TA-01030,1,1,1,0,1
TA-01031,1,1,1,0,1
TA-01032,1,20,3,3,0
TA-01033,1,250,8,8,0
TA-01034,1,250,8,8,0
TA-01035,1,250,8,8,0
TA-01036,1,20,4,4,0
TA-01037,1,7,4,4,0
TA-01038,1,250,8,8,0
TA-01039,1,1,1,0,1
TA-01040,1,250,8,8,0
TA-01041,1,250,8,8,0
TA-01042,1,250,8,8,0
TA-01043,3,12,4,4,0
TA-01044,1,250,8,8,0
TA-01045,1,250,8,8,0
TA-01046,1,250,8,8,0
TA-01047,1,250,8,8,0
TA-01048,2,8,4,4,0
TA-01053,1,250,8,8,0
