tube_assembly_id,supplier,quote_date,annual_usage,min_order_quantity,bracket_pricing,quantity,cost
TA-00012,S-0066,2013-08-11,0,0,Yes,100,3.594420302
TA-00012,S-0066,2013-08-11,0,0,Yes,250,3.510958531
TA-00013,S-0026,1992-07-21,50,1,No,1,10.00428437
TA-00014,S-0066,2013-03-17,0,0,Yes,1,21.99495891
TA-00014,S-0066,2013-03-17,0,0,Yes,2,12.43023987
TA-00014,S-0066,2013-03-17,0,0,Yes,5,6.690852033
TA-00014,S-0066,2013-03-17,0,0,Yes,10,4.779577461
TA-00014,S-0066,2013-03-17,0,0,Yes,25,3.63058707
TA-00014,S-0066,2013-03-17,0,0,Yes,50,3.316214397
TA-00014,S-0066,2013-03-17,0,0,Yes,100,3.174329385
TA-00014,S-0066,2013-03-17,0,0,Yes,250,3.088085554
TA-00021,S-0030,2014-02-10,1,1,No,1,3.433060877
TA-00022,S-0013,2011-07-27,1,1,No,1,8.563177779
TA-00024,S-0066,2013-08-01,0,0,Yes,1,20.93499441
TA-00024,S-0066,2013-08-01,0,0,Yes,2,11.37027537
TA-00024,S-0066,2013-08-01,0,0,Yes,5,5.633669592
TA-00024,S-0066,2013-08-01,0,0,Yes,10,3.71961296
TA-00024,S-0066,2013-08-01,0,0,Yes,25,2.573404628
TA-00024,S-0066,2013-08-01,0,0,Yes,50,2.256249896
TA-00024,S-0066,2013-08-01,0,0,Yes,100,2.114364884
TA-00024,S-0066,2013-08-01,0,0,Yes,250,2.030903112
TA-00025,S-0066,2013-08-01,0,0,Yes,1,20.78198116
TA-00025,S-0066,2013-08-01,0,0,Yes,2,11.21726212
TA-00025,S-0066,2013-08-01,0,0,Yes,5,5.477874284
TA-00025,S-0066,2013-08-01,0,0,Yes,10,3.566599712
TA-00025,S-0066,2013-08-01,0,0,Yes,25,2.417609321
TA-00025,S-0066,2013-08-01,0,0,Yes,50,2.103236648
TA-00025,S-0066,2013-08-01,0,0,Yes,100,1.961351636
TA-00025,S-0066,2013-08-01,0,0,Yes,250,1.877889864
TA-00027,S-0062,1993-09-24,30,1,No,1,2.737546113
TA-00028,S-0062,2011-06-24,3,0,Yes,5,16.7090467
TA-00028,S-0062,2011-06-24,3,0,Yes,10,10.1517335
TA-00031,S-0014,2002-07-29,2,0,Yes,2,25.0190571
TA-00031,S-0014,2002-07-29,2,0,Yes,4,14.58633564
TA-00031,S-0014,2002-07-29,2,0,Yes,6,11.10876182
TA-00031,S-0014,2002-07-29,2,0,Yes,8,9.369974906
TA-00031,S-0014,2002-07-29,2,0,Yes,10,8.326702759
TA-00031,S-0014,2002-07-29,2,0,Yes,12,7.631187995
TA-00034,S-0062,2014-08-07,50,0,Yes,1,94.02524997
TA-00034,S-0062,1993-02-02,280,1,Yes,1,4.829654524
TA-00034,S-0062,2014-08-07,50,0,Yes,6,22.66265308
TA-00034,S-0062,2014-08-07,50,0,Yes,10,16.9538679
TA-00034,S-0062,2014-08-07,50,0,Yes,20,11.67630186
TA-00034,S-0062,2014-08-07,50,0,Yes,50,8.969358402
TA-00037,S-0062,1994-09-01,600,1,No,1,1.56351719
TA-00046,S-0026,2010-11-19,15,1,No,1,228.1483171
TA-00047,S-0072,2006-04-12,10,1,No,1,7.834278306
TA-00048,S-0026,2009-09-01,180,20,No,1,2.940636424
TA-00052,S-0066,2013-10-01,0,0,Yes,1,29.55937749
TA-00052,S-0066,2013-10-01,0,0,Yes,2,17.69945972
TA-00052,S-0066,2013-10-01,0,0,Yes,5,10.58295265
TA-00052,S-0066,2013-10-01,0,0,Yes,10,8.209856279
TA-00052,S-0066,2013-10-01,0,0,Yes,25,6.7882241
TA-00052,S-0066,2013-10-01,0,0,Yes,50,6.379261419
TA-00052,S-0066,2013-10-01,0,0,Yes,100,6.192863462
TA-00052,S-0066,2013-10-01,0,0,Yes,250,6.0815811
TA-00054,S-0064,2005-06-21,5,0,Yes,2,38.78746738
TA-00054,S-0064,2005-06-21,5,0,Yes,3,27.95969353
TA-00054,S-0064,2005-06-21,5,0,Yes,4,22.59310161
TA-00054,S-0064,2005-06-21,5,0,Yes,6,16.57550786
TA-00056,S-0066,2013-09-01,0,0,Yes,1,28.64686212
TA-00056,S-0066,2013-09-01,0,0,Yes,2,16.78694435
TA-00056,S-0066,2013-09-01,0,0,Yes,5,9.670437284
TA-00056,S-0066,2013-09-01,0,0,Yes,10,7.300122967
TA-00056,S-0066,2013-09-01,0,0,Yes,25,5.87570873
TA-00056,S-0066,2013-09-01,0,0,Yes,50,5.469528107
TA-00056,S-0066,2013-09-01,0,0,Yes,100,5.280348091
TA-00056,S-0066,2013-09-01,0,0,Yes,250,5.169065729
TA-00058,S-0072,2014-07-29,2,0,Yes,2,11.91555894
TA-00058,S-0072,2014-07-29,2,0,Yes,4,8.646639551
TA-00058,S-0072,2014-07-29,2,0,Yes,6,7.227789432
TA-00058,S-0072,2014-07-29,2,0,Yes,8,6.451594954
TA-00061,S-0066,2013-06-01,0,0,Yes,1,21.32170062
TA-00061,S-0066,2013-06-01,0,0,Yes,2,11.75698158
TA-00061,S-0066,2013-06-01,0,0,Yes,5,6.020375801
TA-00061,S-0066,2013-06-01,0,0,Yes,10,4.106319169
TA-00061,S-0066,2013-06-01,0,0,Yes,25,2.957328778
TA-00061,S-0066,2013-06-01,0,0,Yes,50,2.642956105
TA-00061,S-0066,2013-06-01,0,0,Yes,100,2.501071093
TA-00061,S-0066,2013-06-01,0,0,Yes,250,2.417609321
TA-00062,S-0041,2014-06-03,200,60,No,60,2.375878435
TA-00063,S-0041,2014-06-03,200,40,No,40,1.549606895
TA-00064,S-0041,2014-06-03,300,60,No,60,2.18391636
TA-00066,S-0062,1999-04-06,8821,1,No,1,1.263054812
TA-00068,S-0026,2002-08-19,701,1,Yes,1,4.787923638
TA-00073,S-0026,2000-07-05,115,1,No,1,10.74709414
TA-00076,S-0066,2013-08-11,0,0,Yes,1,22.50685778
TA-00076,S-0066,2013-08-11,0,0,Yes,2,12.94213874
TA-00076,S-0066,2013-08-11,0,0,Yes,5,7.2027509
TA-00076,S-0066,2013-08-11,0,0,Yes,10,5.291476327
TA-00076,S-0066,2013-08-11,0,0,Yes,25,4.142485937
TA-00076,S-0066,2013-08-11,0,0,Yes,50,3.825331204
TA-00076,S-0066,2013-08-11,0,0,Yes,100,3.686228251
TA-00076,S-0066,2013-08-11,0,0,Yes,250,3.59998442
TA-00077,S-0066,2012-04-05,5,0,Yes,3,35.30432944
TA-00077,S-0066,2012-04-05,5,0,Yes,6,23.1578596
TA-00077,S-0066,2012-04-05,5,0,Yes,9,18.79280893
TA-00077,S-0066,2012-04-05,5,0,Yes,12,16.2472249
TA-00078,S-0066,2013-06-01,0,0,Yes,1,21.60547064
TA-00078,S-0066,2013-06-01,0,0,Yes,2,12.0407516
TA-00078,S-0066,2013-06-01,0,0,Yes,5,6.301363765
TA-00078,S-0066,2013-06-01,0,0,Yes,10,4.387307134
TA-00078,S-0066,2013-06-01,0,0,Yes,25,3.241098802
TA-00078,S-0066,2013-06-01,0,0,Yes,50,2.923944069
TA-00078,S-0066,2013-06-01,0,0,Yes,100,2.782059058
TA-00078,S-0066,2013-06-01,0,0,Yes,250,2.698597286
TA-00080,S-0066,2013-08-11,0,0,Yes,1,21.53870122
TA-00080,S-0066,2013-08-11,0,0,Yes,2,11.97398218
TA-00080,S-0066,2013-08-11,0,0,Yes,5,6.234594348
TA-00080,S-0066,2013-08-11,0,0,Yes,10,4.320537716
TA-00080,S-0066,2013-08-11,0,0,Yes,25,3.174329385
TA-00080,S-0066,2013-08-11,0,0,Yes,50,2.857174652
TA-00080,S-0066,2013-08-11,0,0,Yes,100,2.718071699
TA-00080,S-0066,2013-08-11,0,0,Yes,250,2.631827868
TA-00082,S-0066,2013-08-11,0,0,Yes,1,21.49140622
TA-00082,S-0066,2013-08-11,0,0,Yes,2,11.92668718
TA-00082,S-0066,2013-08-11,0,0,Yes,5,6.187299344
TA-00082,S-0066,2013-08-11,0,0,Yes,10,4.273242712
TA-00082,S-0066,2013-08-11,0,0,Yes,25,3.127034381
TA-00082,S-0066,2013-08-11,0,0,Yes,50,2.809879648
TA-00082,S-0066,2013-08-11,0,0,Yes,100,2.667994636
TA-00082,S-0066,2013-08-11,0,0,Yes,250,2.584532864
TA-00083,S-0066,2013-06-01,0,0,Yes,1,21.49140622
TA-00083,S-0066,2013-06-01,0,0,Yes,2,11.92668718
TA-00083,S-0066,2013-06-01,0,0,Yes,5,6.187299344
TA-00083,S-0066,2013-06-01,0,0,Yes,10,4.273242712
TA-00083,S-0066,2013-06-01,0,0,Yes,25,3.127034381
TA-00083,S-0066,2013-06-01,0,0,Yes,50,2.809879648
TA-00083,S-0066,2013-06-01,0,0,Yes,100,2.667994636
TA-00083,S-0066,2013-06-01,0,0,Yes,250,2.584532864
TA-00084,S-0066,2013-08-11,0,0,Yes,1,21.59712446
TA-00084,S-0066,2013-08-11,0,0,Yes,2,12.03240542
TA-00084,S-0066,2013-08-11,0,0,Yes,5,6.293017588
TA-00084,S-0066,2013-08-11,0,0,Yes,10,4.378960957
TA-00084,S-0066,2013-08-11,0,0,Yes,25,3.232752625
TA-00084,S-0066,2013-08-11,0,0,Yes,50,2.915597892
TA-00084,S-0066,2013-08-11,0,0,Yes,100,2.77371288
TA-00084,S-0066,2013-08-11,0,0,Yes,250,2.690251109
TA-00085,S-0066,2013-06-01,0,0,Yes,1,21.56373976
TA-00085,S-0066,2013-06-01,0,0,Yes,2,11.99902072
TA-00085,S-0066,2013-06-01,0,0,Yes,5,6.259632879
TA-00085,S-0066,2013-06-01,0,0,Yes,10,4.345576248
TA-00085,S-0066,2013-06-01,0,0,Yes,25,3.199367916
TA-00085,S-0066,2013-06-01,0,0,Yes,50,2.882213184
TA-00085,S-0066,2013-06-01,0,0,Yes,100,2.743110231
TA-00085,S-0066,2013-06-01,0,0,Yes,250,2.6568664
TA-00086,S-0066,2013-08-11,0,0,Yes,1,21.19094384
TA-00086,S-0066,2013-08-11,0,0,Yes,2,11.6262248
TA-00086,S-0066,2013-08-11,0,0,Yes,5,5.886836966
TA-00086,S-0066,2013-08-11,0,0,Yes,10,3.975562393
TA-00086,S-0066,2013-08-11,0,0,Yes,25,2.826572002
TA-00086,S-0066,2013-08-11,0,0,Yes,50,2.512199329
TA-00086,S-0066,2013-08-11,0,0,Yes,100,2.370314317
TA-00086,S-0066,2013-08-11,0,0,Yes,250,2.286852545
TA-00087,S-0066,2013-06-01,0,0,Yes,1,21.21598237
TA-00087,S-0066,2013-06-01,0,0,Yes,2,11.65126333
TA-00087,S-0066,2013-06-01,0,0,Yes,5,5.911875497
TA-00087,S-0066,2013-06-01,0,0,Yes,10,4.000600925
TA-00087,S-0066,2013-06-01,0,0,Yes,25,2.851610534
TA-00087,S-0066,2013-06-01,0,0,Yes,50,2.53723786
TA-00087,S-0066,2013-06-01,0,0,Yes,100,2.395352849
TA-00087,S-0066,2013-06-01,0,0,Yes,250,2.309109018
TA-00088,S-0013,2011-05-01,8,8,No,8,7.561636518
TA-00091,S-0066,2013-06-01,0,0,Yes,1,21.53870122
TA-00091,S-0066,2013-06-01,0,0,Yes,2,11.97398218
TA-00091,S-0066,2013-06-01,0,0,Yes,5,6.234594348
TA-00091,S-0066,2013-06-01,0,0,Yes,10,4.320537716
TA-00091,S-0066,2013-06-01,0,0,Yes,25,3.174329385
TA-00091,S-0066,2013-06-01,0,0,Yes,50,2.857174652
TA-00091,S-0066,2013-06-01,0,0,Yes,100,2.718071699
TA-00091,S-0066,2013-06-01,0,0,Yes,250,2.631827868
TA-00092,S-0066,2013-06-01,0,0,Yes,1,21.57208593
TA-00092,S-0066,2013-06-01,0,0,Yes,2,12.00736689
TA-00092,S-0066,2013-06-01,0,0,Yes,5,6.267979057
TA-00092,S-0066,2013-06-01,0,0,Yes,10,4.353922425
TA-00092,S-0066,2013-06-01,0,0,Yes,25,3.207714093
TA-00092,S-0066,2013-06-01,0,0,Yes,50,2.890559361
TA-00092,S-0066,2013-06-01,0,0,Yes,100,2.751456408
TA-00092,S-0066,2013-06-01,0,0,Yes,250,2.665212577
TA-00093,S-0066,2013-06-01,0,0,Yes,1,21.59712446
TA-00093,S-0066,2013-06-01,0,0,Yes,2,12.03240542
TA-00093,S-0066,2013-06-01,0,0,Yes,5,6.293017588
TA-00093,S-0066,2013-06-01,0,0,Yes,10,4.378960957
TA-00093,S-0066,2013-06-01,0,0,Yes,25,3.232752625
TA-00093,S-0066,2013-06-01,0,0,Yes,50,2.915597892
TA-00093,S-0066,2013-06-01,0,0,Yes,100,2.77371288
TA-00093,S-0066,2013-06-01,0,0,Yes,250,2.690251109
TA-00096,S-0066,2013-06-01,0,0,Yes,1,21.38012386
TA-00096,S-0066,2013-06-01,0,0,Yes,2,11.81540482
TA-00096,S-0066,2013-06-01,0,0,Yes,5,6.078799041
TA-00096,S-0066,2013-06-01,0,0,Yes,10,4.164742409
TA-00096,S-0066,2013-06-01,0,0,Yes,25,3.018534077
TA-00096,S-0066,2013-06-01,0,0,Yes,50,2.701379345
TA-00096,S-0066,2013-06-01,0,0,Yes,100,2.559494333
TA-00096,S-0066,2013-06-01,0,0,Yes,250,2.476032561
TA-00099,S-0066,2013-10-01,0,0,Yes,1,27.34207642
TA-00099,S-0066,2013-10-01,0,0,Yes,2,17.15139409
TA-00099,S-0066,2013-10-01,0,0,Yes,5,11.03642828
TA-00099,S-0066,2013-10-01,0,0,Yes,10,8.999961051
TA-00099,S-0066,2013-10-01,0,0,Yes,25,7.775855066
TA-00099,S-0066,2013-10-01,0,0,Yes,50,7.436443861
TA-00099,S-0066,2013-10-01,0,0,Yes,100,7.280648554
TA-00099,S-0066,2013-10-01,0,0,Yes,250,7.188840605
TA-00101,S-0014,2005-05-01,5,1,No,1,7.094250597
TA-00104,S-0041,2013-02-07,1,0,Yes,1,29.48704395
TA-00104,S-0041,2013-02-07,1,0,Yes,6,7.931650373
TA-00104,S-0041,2013-02-07,1,0,Yes,20,3.953305921
TA-00105,S-0066,2012-01-26,2,0,Yes,2,107.8381732
TA-00105,S-0066,2012-01-26,2,0,Yes,4,61.96480139
TA-00105,S-0066,2012-01-26,2,0,Yes,6,46.42700155
TA-00105,S-0066,2012-01-26,2,0,Yes,8,38.8403265
TA-00105,S-0066,2012-01-26,2,0,Yes,10,34.28887788
TA-00107,S-0072,2012-07-11,5,0,Yes,2,23.5584761
TA-00107,S-0072,2012-07-11,5,0,Yes,4,20.61505762
TA-00107,S-0072,2012-07-11,5,0,Yes,6,18.84566806
TA-00107,S-0072,2012-07-11,5,0,Yes,8,17.66885707
TA-00108,S-0066,2013-10-01,0,0,Yes,1,31.2369591
TA-00108,S-0066,2013-10-01,0,0,Yes,2,21.04627677
TA-00108,S-0066,2013-10-01,0,0,Yes,5,14.93409302
TA-00108,S-0066,2013-10-01,0,0,Yes,10,12.89484373
TA-00108,S-0066,2013-10-01,0,0,Yes,25,11.67351981
TA-00108,S-0066,2013-10-01,0,0,Yes,50,11.33132654
TA-00108,S-0066,2013-10-01,0,0,Yes,100,11.17831329
TA-00108,S-0066,2013-10-01,0,0,Yes,250,11.08650534
TA-00114,S-0072,2002-08-26,791,10,Yes,1,1.307567757
TA-00114,S-0072,2014-06-10,150,1,Yes,1,5.63923371
TA-00117,S-0041,2013-02-07,1,0,Yes,1,24.99123651
TA-00117,S-0041,2013-02-07,1,0,Yes,6,5.269219855
TA-00117,S-0041,2013-02-07,1,0,Yes,20,1.627504549
TA-00119,S-0066,2013-07-01,0,0,Yes,1,21.6555477
TA-00119,S-0066,2013-07-01,0,0,Yes,2,12.09082866
TA-00119,S-0066,2013-07-01,0,0,Yes,5,6.351440828
TA-00119,S-0066,2013-07-01,0,0,Yes,10,4.440166256
TA-00119,S-0066,2013-07-01,0,0,Yes,25,3.291175865
TA-00119,S-0066,2013-07-01,0,0,Yes,50,2.976803192
TA-00119,S-0066,2013-07-01,0,0,Yes,100,2.83491818
TA-00119,S-0066,2013-07-01,0,0,Yes,250,2.748674349
TA-00120,S-0066,2013-07-01,0,0,Yes,1,21.46636769
TA-00120,S-0066,2013-07-01,0,0,Yes,2,11.90164865
TA-00120,S-0066,2013-07-01,0,0,Yes,5,6.165042872
TA-00120,S-0066,2013-07-01,0,0,Yes,10,4.25098624
TA-00120,S-0066,2013-07-01,0,0,Yes,25,3.101995849
TA-00120,S-0066,2013-07-01,0,0,Yes,50,2.787623176
TA-00120,S-0066,2013-07-01,0,0,Yes,100,2.645738164
TA-00120,S-0066,2013-07-01,0,0,Yes,250,2.562276392
TA-00121,S-0066,2013-07-01,0,0,Yes,1,21.46636769
TA-00121,S-0066,2013-07-01,0,0,Yes,2,11.90164865
TA-00121,S-0066,2013-07-01,0,0,Yes,5,6.165042872
TA-00121,S-0066,2013-07-01,0,0,Yes,10,4.25098624
TA-00121,S-0066,2013-07-01,0,0,Yes,25,3.101995849
TA-00121,S-0066,2013-07-01,0,0,Yes,50,2.787623176
TA-00121,S-0066,2013-07-01,0,0,Yes,100,2.645738164
TA-00121,S-0066,2013-07-01,0,0,Yes,250,2.562276392
TA-00123,S-0066,2013-09-01,0,0,Yes,1,28.52445152
TA-00123,S-0066,2013-09-01,0,0,Yes,2,16.66453375
TA-00123,S-0066,2013-09-01,0,0,Yes,5,9.548026686
TA-00123,S-0066,2013-09-01,0,0,Yes,10,7.177712368
TA-00123,S-0066,2013-09-01,0,0,Yes,25,5.753298131
TA-00123,S-0066,2013-09-01,0,0,Yes,50,5.34433545
TA-00123,S-0066,2013-09-01,0,0,Yes,100,5.157937493
TA-00123,S-0066,2013-09-01,0,0,Yes,250,5.04665513
TA-00125,S-0066,2013-10-01,0,0,Yes,1,28.57174652
TA-00125,S-0066,2013-10-01,0,0,Yes,2,16.71182876
TA-00125,S-0066,2013-10-01,0,0,Yes,5,9.595321689
TA-00125,S-0066,2013-10-01,0,0,Yes,10,7.222225313
TA-00125,S-0066,2013-10-01,0,0,Yes,25,5.800593135
TA-00125,S-0066,2013-10-01,0,0,Yes,50,5.391630454
TA-00125,S-0066,2013-10-01,0,0,Yes,100,5.205232497
TA-00125,S-0066,2013-10-01,0,0,Yes,250,5.093950134
TA-00128,S-0064,2012-02-06,1,0,Yes,5,25.33621184
TA-00128,S-0064,2012-02-06,1,0,Yes,10,15.79374927
TA-00128,S-0064,2012-02-06,1,0,Yes,15,12.61385577
TA-00128,S-0064,2012-02-06,1,0,Yes,20,11.02251799
TA-00130,S-0054,2001-04-10,0,0,Yes,1,14.15511648
TA-00130,S-0054,2001-04-10,0,0,Yes,2,9.166884595
TA-00130,S-0054,2001-04-10,0,0,Yes,3,7.458700333
TA-00130,S-0054,2001-04-10,0,0,Yes,5,6.145568458
TA-00130,S-0054,2001-04-10,0,0,Yes,10,5.130116902
TA-00130,S-0054,2001-04-10,0,0,Yes,20,4.626564213
TA-00132,S-0066,2013-10-01,0,0,Yes,1,28.23511738
TA-00132,S-0066,2013-10-01,0,0,Yes,2,16.37519961
TA-00132,S-0066,2013-10-01,0,0,Yes,5,9.258692544
TA-00132,S-0066,2013-10-01,0,0,Yes,10,6.888378226
TA-00132,S-0066,2013-10-01,0,0,Yes,25,5.463963989
TA-00132,S-0066,2013-10-01,0,0,Yes,50,5.057783367
TA-00132,S-0066,2013-10-01,0,0,Yes,100,4.868603351
TA-00132,S-0066,2013-10-01,0,0,Yes,250,4.757320988
TA-00140,S-0066,2011-05-12,100,1,Yes,1,3.474791763
TA-00140,S-0066,2011-08-01,3223,1,Yes,1,1.646978962
TA-00140,S-0087,2009-07-10,1384,10,Yes,1,2.356404022
TA-00141,S-0064,2011-11-12,18,0,Yes,10,22.21474157
TA-00141,S-0064,2011-11-12,18,0,Yes,15,18.00826828
TA-00141,S-0064,2011-11-12,18,0,Yes,20,15.90503163
TA-00141,S-0064,2011-11-12,18,0,Yes,25,14.64197682
TA-00141,S-0064,2011-11-12,18,0,Yes,30,13.80179498
TA-00144,S-0066,2009-03-03,4,0,Yes,1,259.8554442
TA-00144,S-0066,2009-03-03,4,0,Yes,2,141.6123701
TA-00144,S-0066,2009-03-03,4,0,Yes,3,102.1989395
TA-00145,S-0066,2013-06-01,0,0,Yes,1,21.99217685
TA-00145,S-0066,2013-06-01,0,0,Yes,2,12.42745781
TA-00145,S-0066,2013-06-01,0,0,Yes,5,6.688069974
TA-00145,S-0066,2013-06-01,0,0,Yes,10,4.776795402
TA-00145,S-0066,2013-06-01,0,0,Yes,25,3.627805011
TA-00145,S-0066,2013-06-01,0,0,Yes,50,3.313432338
TA-00145,S-0066,2013-06-01,0,0,Yes,100,3.171547326
TA-00145,S-0066,2013-06-01,0,0,Yes,250,3.085303495
TA-00147,S-0066,2013-06-01,0,0,Yes,1,22.06729244
TA-00147,S-0066,2013-06-01,0,0,Yes,2,12.5025734
TA-00147,S-0066,2013-06-01,0,0,Yes,5,6.763185569
TA-00147,S-0066,2013-06-01,0,0,Yes,10,4.849128937
TA-00147,S-0066,2013-06-01,0,0,Yes,25,3.702920606
TA-00147,S-0066,2013-06-01,0,0,Yes,50,3.385765873
TA-00147,S-0066,2013-06-01,0,0,Yes,100,3.24666292
TA-00147,S-0066,2013-06-01,0,0,Yes,250,3.160419089
TA-00148,S-0066,2013-08-11,0,0,Yes,1,21.82803537
TA-00148,S-0066,2013-08-11,0,0,Yes,2,12.26331633
TA-00148,S-0066,2013-08-11,0,0,Yes,5,6.52392849
TA-00148,S-0066,2013-08-11,0,0,Yes,10,4.612653917
TA-00148,S-0066,2013-08-11,0,0,Yes,25,3.463663527
TA-00148,S-0066,2013-08-11,0,0,Yes,50,3.149290853
TA-00148,S-0066,2013-08-11,0,0,Yes,100,3.007405841
TA-00148,S-0066,2013-08-11,0,0,Yes,250,2.923944069
TA-00149,S-0066,2013-08-11,0,0,Yes,1,21.76126595
TA-00149,S-0066,2013-08-11,0,0,Yes,2,12.19654691
TA-00149,S-0066,2013-08-11,0,0,Yes,5,6.457159073
TA-00149,S-0066,2013-08-11,0,0,Yes,10,4.5458845
TA-00149,S-0066,2013-08-11,0,0,Yes,25,3.396894109
TA-00149,S-0066,2013-08-11,0,0,Yes,50,3.082521436
TA-00149,S-0066,2013-08-11,0,0,Yes,100,2.940636424
TA-00149,S-0066,2013-08-11,0,0,Yes,250,2.857174652
TA-00150,S-0066,2013-08-11,0,0,Yes,1,21.82803537
TA-00150,S-0066,2013-08-11,0,0,Yes,2,12.26331633
TA-00150,S-0066,2013-08-11,0,0,Yes,5,6.52392849
TA-00150,S-0066,2013-08-11,0,0,Yes,10,4.612653917
TA-00150,S-0066,2013-08-11,0,0,Yes,25,3.463663527
TA-00150,S-0066,2013-08-11,0,0,Yes,50,3.149290853
TA-00150,S-0066,2013-08-11,0,0,Yes,100,3.007405841
TA-00150,S-0066,2013-08-11,0,0,Yes,250,2.923944069
TA-00153,S-0066,2013-07-01,0,0,Yes,1,21.47471387
TA-00153,S-0066,2013-07-01,0,0,Yes,2,11.90999483
TA-00153,S-0066,2013-07-01,0,0,Yes,5,6.173389049
TA-00153,S-0066,2013-07-01,0,0,Yes,10,4.259332417
TA-00153,S-0066,2013-07-01,0,0,Yes,25,3.110342026
TA-00153,S-0066,2013-07-01,0,0,Yes,50,2.795969353
TA-00153,S-0066,2013-07-01,0,0,Yes,100,2.654084341
TA-00153,S-0066,2013-07-01,0,0,Yes,250,2.570622569
TA-00154,S-0066,1995-07-31,0,0,Yes,5,18.46452596
TA-00154,S-0066,1995-07-31,0,0,Yes,10,12.90040785
TA-00154,S-0066,1995-07-31,0,0,Yes,15,11.04755652
TA-00154,S-0066,1995-07-31,0,0,Yes,20,10.11834879
TA-00156,S-0072,2013-09-26,1,0,Yes,1,12.25218809
TA-00156,S-0072,2013-09-26,1,0,Yes,2,8.546485425
TA-00156,S-0072,2013-09-26,1,0,Yes,3,7.597803286
TA-00156,S-0072,2013-09-26,1,0,Yes,4,6.409864069
TA-00156,S-0072,2013-09-26,1,0,Yes,5,5.69765695
TA-00157,S-0066,2013-12-02,1,0,Yes,1,25.70066157
TA-00157,S-0066,2013-12-02,1,0,Yes,2,15.50997925
TA-00157,S-0066,2013-12-02,1,0,Yes,5,9.397795496
TA-00157,S-0066,2013-12-02,1,0,Yes,10,7.358546207
TA-00157,S-0066,2013-12-02,1,0,Yes,25,6.134440222
TA-00157,S-0066,2013-12-02,1,0,Yes,50,5.795029017
TA-00157,S-0066,2013-12-02,1,0,Yes,100,5.642015769
TA-00157,S-0066,2013-12-02,1,0,Yes,250,5.55020782
TA-00161,S-0066,2013-07-01,0,0,Yes,1,21.62772711
TA-00161,S-0066,2013-07-01,0,0,Yes,2,12.06300807
TA-00161,S-0066,2013-07-01,0,0,Yes,5,6.323620238
TA-00161,S-0066,2013-07-01,0,0,Yes,10,4.409563606
TA-00161,S-0066,2013-07-01,0,0,Yes,25,3.263355275
TA-00161,S-0066,2013-07-01,0,0,Yes,50,2.946200542
TA-00161,S-0066,2013-07-01,0,0,Yes,100,2.80431553
TA-00161,S-0066,2013-07-01,0,0,Yes,250,2.720853758
TA-00162,S-0066,2010-10-29,2,0,Yes,3,50.49437189
TA-00162,S-0066,2010-10-29,2,0,Yes,5,32.3581289
TA-00162,S-0066,2010-10-29,2,0,Yes,10,19.0598866
TA-00164,S-0062,1993-02-04,0,1,No,1,0.934771843
TA-00165,S-0062,1993-11-12,300,1,Yes,1,1.991954285
TA-00166,S-0064,2008-06-01,450,1,No,1,9.456218737
TA-00168,S-0031,2014-02-06,100,40,No,40,3.04079055
TA-00173,S-0066,2013-12-02,1,0,Yes,1,24.69077414
