component_id,straight_bolt_pattern_long,straight_bolt_pattern_wide,straight_head_diameter,straight_overall_length,straight_thickness,straight_mj_class_code,straight_groove,straight_unique_feature,straight_orientation,straight_weight
C-0157,50.8,23.8,50.8,28.0,36.5,MJ-003,N,N,Y,0.8009999999999999
C-0158,50.8,31.8,50.8,28.0,9.52,NONE,N,N,Y,0.097
C-0162,152.4,92.1,50.8,28.0,25.0,NONE,Y,N,Y,2.725
C-0166,38.1,31.8,50.8,28.0,16.0,NONE,N,N,Y,0.11
C-0170,52.38,31.8,50.8,28.0,16.0,NONE,N,N,Y,0.09
C-0172,57.15,31.8,50.8,28.0,9.27,NONE,N,N,Y,0.191
C-0174,88.9,50.8,50.8,28.0,36.5,MJ-003,N,N,Y,2.07
C-0190,52.37,26.19,50.8,28.0,65.0,MJ-003,N,Y,Y,1.035
C-0191,94.0,31.8,50.8,28.0,15.8,NONE,Y,N,Y,0.407
C-0193,77.8,42.9,50.8,28.0,24.5,NONE,N,N,Y,0.625
C-0202,92.08,31.8,50.8,28.0,12.5,NONE,Y,N,Y,0.278
C-0205,58.72,30.18,50.8,28.0,63.0,MJ-003,N,Y,Y,0.807
C-0219,66.68,31.75,50.8,28.0,25.0,NONE,Y,Y,Y,1.171
C-0220,66.7,31.8,50.8,28.0,25.0,NONE,N,Y,Y,0.97
C-0221,57.15,27.76,50.8,28.0,25.0,NONE,N,Y,Y,0.795
C-0229,57.2,31.8,50.8,28.0,9.27,NONE,N,N,Y,0.18
C-0231,82.6,31.8,50.8,28.0,6.0,NONE,N,N,Y,0.23
C-0237,66.68,31.8,50.8,28.0,8.0,NONE,Y,N,N,0.172
C-0244,152.4,92.1,50.8,28.0,19.05,NONE,Y,N,Y,2.127
C-0246,38.1,31.8,50.8,28.0,12.0,NONE,N,N,Y,0.08
C-0247,120.65,69.85,50.8,28.0,24.64,NONE,N,N,Y,2.25
C-0250,130.2,77.8,50.8,28.0,28.0,NONE,N,N,Y,2.46
C-0268,106.4,61.9,50.8,28.0,36.5,NONE,N,N,Y,2.91
C-0275,120.7,69.9,50.8,28.0,36.5,NONE,N,N,Y,3.268
C-0292,52.4,31.8,50.8,28.0,12.0,NONE,Y,N,Y,0.115
C-0295,125.0,31.8,50.8,28.0,15.0,NONE,N,N,Y,0.53
C-0306,106.4,61.9,50.8,28.0,24.6,NONE,N,N,Y,1.062
C-0325,85.7,85.7,50.8,28.0,16.0,NONE,N,N,Y,1.44
C-0332,66.68,31.8,41.28,17.53,8.76,NONE,N,N,N,0.008
C-0333,66.68,31.8,53.98,28.0,10.29,NONE,Y,N,N,0.136
C-0334,66.68,31.8,47.63,28.0,9.53,NONE,Y,N,N,0.104
C-0335,66.68,31.8,44.45,28.0,8.0,NONE,Y,N,N,0.09
C-0342,57.2,27.8,50.8,28.0,50.0,MJ-003,N,N,Y,1.589
C-0343,52.37,26.19,50.8,28.0,36.0,NONE,N,N,Y,0.813
C-0344,106.38,61.93,50.8,28.0,18.0,NONE,Y,N,Y,1.297
C-0359,58.7,30.2,50.8,28.0,36.5,MJ-003,N,N,Y,1.044
C-0360,58.72,30.18,50.8,28.0,45.0,NONE,Y,Y,Y,1.325
C-0362,56.0,31.8,50.8,28.0,20.0,NONE,Y,N,Y,0.32
C-0370,66.68,31.8,127.0,25.4,11.5,NONE,Y,N,N,0.596
C-0380,77.77,42.88,50.8,28.0,16.0,NONE,Y,Y,Y,0.928
C-0385,82.56,31.8,50.8,28.0,25.0,NONE,Y,Y,Y,0.732
C-0392,66.68,31.8,44.45,28.0,14.2,NONE,Y,N,N,0.14
C-0398,50.8,31.8,50.8,28.0,9.5,NONE,N,N,Y,0.078
C-0400,88.9,50.8,50.8,28.0,28.0,NONE,N,N,Y,1.547
C-0403,77.77,42.88,50.8,28.0,37.0,NONE,N,N,Y,2.59
C-0406,120.65,69.85,50.8,28.0,24.0,NONE,N,N,Y,2.199
C-0423,73.02,31.8,50.8,28.0,10.0,NONE,N,N,Y,0.16
C-0434,57.15,31.8,50.8,28.0,9.72,NONE,N,N,Y,0.191
C-0450,52.37,26.19,50.8,28.0,28.0,MJ-001,Y,N,Y,0.496
C-0451,58.7,30.2,50.8,28.0,28.0,MJ-001,Y,N,Y,0.693
C-0452,69.9,35.7,50.8,28.0,28.0,MJ-001,Y,N,Y,0.94
C-0453,77.8,42.9,50.8,28.0,28.0,MJ-001,Y,N,Y,1.094
C-0456,66.68,31.8,50.8,28.0,14.2,MJ-001,N,N,N,0.175
C-0457,66.68,31.8,44.45,28.0,14.2,MJ-001,Y,N,N,0.14
C-0458,66.68,31.8,50.8,28.0,14.2,MJ-001,Y,N,N,0.158
C-0459,66.68,31.8,50.8,28.0,14.2,MJ-001,Y,N,N,0.175
C-0460,66.68,31.8,60.32,28.0,14.2,MJ-001,Y,N,N,0.21
C-0461,66.68,31.8,71.42,28.0,14.2,MJ-001,Y,N,N,0.403
C-0462,66.68,31.8,71.42,28.0,14.2,MJ-001,Y,N,N,0.28
C-0463,66.68,31.8,82.55,28.0,14.2,MJ-003,Y,N,N,0.613
C-0465,79.38,36.5,50.8,28.0,28.0,MJ-001,N,N,Y,1.347
C-0466,52.37,26.19,50.8,28.0,28.0,MJ-001,N,N,Y,0.482
C-0468,50.8,31.8,50.8,28.0,8.74,NONE,N,N,Y,0.09
C-0471,76.2,31.8,50.8,28.0,16.0,NONE,Y,N,Y,0.561
C-0479,62.0,31.8,50.8,28.0,10.0,NONE,N,N,Y,0.06
C-0480,38.1,31.8,50.8,28.0,10.0,NONE,N,N,Y,0.561
C-0485,66.68,31.8,60.35,28.0,8.0,NONE,Y,N,N,0.32
C-0492,66.68,31.8,60.32,28.0,8.8,NONE,Y,N,N,0.154
C-0498,66.68,31.8,50.8,28.0,8.0,NONE,Y,N,N,0.172
C-0500,66.68,31.8,71.37,28.0,9.52,NONE,Y,N,N,0.207
C-0509,82.56,31.8,50.8,28.0,15.0,NONE,Y,N,Y,0.345
C-0510,82.56,31.8,50.8,28.0,14.0,NONE,Y,Y,Y,0.3
C-0532,66.68,31.8,71.4,28.0,9.6,NONE,Y,N,N,0.229
C-0538,91.0,31.8,50.8,28.0,28.0,NONE,Y,Y,Y,0.91
C-0543,66.68,31.8,71.4,28.0,9.53,NONE,Y,N,N,0.224
C-0546,52.4,26.2,50.8,28.0,15.0,NONE,Y,Y,Y,1.2009999999999998
C-0551,50.8,23.8,50.8,28.0,23.0,NONE,Y,N,Y,0.442
C-0554,152.4,92.1,50.8,28.0,19.05,NONE,Y,N,Y,2.377
C-0568,88.9,50.8,50.8,28.0,28.0,MJ-001,Y,N,Y,1.469
C-0573,66.68,31.8,60.5,28.0,8.8,NONE,N,N,N,0.192
C-0591,66.68,31.8,66.0,28.0,8.0,NONE,Y,Y,N,0.161
C-0599,52.4,26.2,50.8,28.0,22.35,NONE,Y,N,Y,0.447
C-0601,52.4,26.19,50.8,28.0,22.0,NONE,N,N,Y,0.424
C-0602,52.4,26.2,50.8,28.0,36.5,MJ-003,N,N,Y,0.752
C-0606,62.0,31.8,50.8,28.0,8.0,NONE,N,N,Y,0.129
C-0612,106.38,61.93,50.8,28.0,45.0,NONE,N,Y,Y,4.0760000000000005
C-0618,106.4,61.9,50.8,28.0,15.9,NONE,Y,N,Y,0.955
C-0619,66.7,31.8,50.8,28.0,36.5,MJ-003,Y,N,Y,1.455
C-0621,66.68,31.8,71.42,36.5,9.53,MJ-003,Y,N,N,0.56
C-0622,66.68,31.8,84.12,19.5,9.53,NONE,Y,N,N,0.435
C-0628,66.68,31.8,44.45,12.7,8.0,NONE,Y,N,N,0.5
C-0632,69.9,35.7,50.8,28.0,36.5,NONE,N,N,Y,1.368
C-0652,106.4,61.9,50.8,28.0,15.9,NONE,Y,N,Y,0.955
C-0653,66.68,31.8,38.1,12.7,6.7,NONE,Y,N,N,0.061
C-0679,52.37,26.19,50.8,28.0,32.0,NONE,N,N,Y,0.474
C-0698,102.4,31.8,50.8,28.0,8.0,NONE,Y,N,Y,0.229
C-0703,66.68,31.8,41.28,28.0,14.22,NONE,Y,N,N,0.15
C-0709,66.68,31.8,38.1,28.0,6.73,NONE,Y,N,N,0.085
C-0722,66.65,66.65,50.8,28.0,12.0,NONE,N,N,Y,0.72
C-0732,74.63,31.8,50.8,28.0,10.0,NONE,Y,N,Y,0.256
C-0734,106.4,61.9,50.8,28.0,18.0,NONE,Y,N,Y,1.26
C-0737,106.4,61.9,50.8,28.0,35.0,NONE,Y,N,Y,3.0
C-0739,56.2,31.8,50.8,28.0,19.0,NONE,Y,Y,Y,0.258
C-0741,66.68,31.8,50.8,28.0,8.24,NONE,Y,N,N,0.14
C-0747,66.68,31.8,53.98,28.0,14.2,NONE,Y,N,N,0.224
C-0748,66.68,31.8,47.63,28.0,14.2,NONE,Y,N,N,0.187
C-0750,57.2,31.8,50.8,28.0,9.27,NONE,N,N,Y,0.191
C-0761,110.0,110.0,50.8,28.0,16.0,NONE,Y,N,Y,1.372
C-0778,86.0,31.8,50.8,28.0,10.0,NONE,Y,N,Y,0.265
C-0782,66.7,31.8,50.8,28.0,20.0,NONE,N,N,Y,0.7879999999999999
C-0787,57.15,31.8,50.8,28.0,9.27,NONE,Y,N,Y,0.07
C-0792,120.7,69.9,50.8,28.0,24.6,NONE,N,N,Y,2.52
C-0799,106.38,61.93,50.8,28.0,16.0,NONE,Y,N,Y,1.3430000000000002
C-0808,88.9,50.8,50.8,28.0,28.0,MJ-001,N,N,Y,1.545
C-0819,98.42,31.8,50.8,28.0,12.3,NONE,N,N,Y,0.272
C-0829,66.68,31.8,60.32,28.0,8.0,MJ-003,Y,N,N,0.32
C-0836,69.85,31.8,50.8,28.0,15.09,NONE,Y,N,Y,0.561
C-0840,120.0,120.0,50.8,28.0,19.05,NONE,Y,N,Y,2.447
C-0846,75.0,31.8,50.8,28.0,10.0,NONE,N,N,Y,0.4
C-0850,75.0,31.8,50.8,28.0,12.0,NONE,N,N,Y,0.7
C-0875,127.0,31.8,50.8,28.0,16.0,NONE,N,N,Y,0.765
C-0880,120.65,69.85,50.8,28.0,36.5,MJ-002,Y,N,Y,4.378
C-0881,130.18,77.77,50.8,28.0,32.7,MJ-002,N,N,Y,3.713
C-0894,76.2,31.8,50.8,28.0,8.0,NONE,N,N,Y,0.156
C-0917,66.68,31.8,84.12,28.0,9.52,NONE,Y,N,N,0.28600000000000003
C-0927,57.15,27.76,50.8,28.0,22.0,NONE,N,Y,Y,0.765
C-0940,66.68,31.75,50.8,28.0,27.0,NONE,Y,N,Y,0.851
C-0941,57.15,27.76,50.8,28.0,24.0,NONE,Y,N,Y,0.81
C-0942,57.15,27.76,50.8,28.0,24.0,NONE,Y,N,Y,0.665
C-0944,50.8,23.8,50.8,28.0,19.0,NONE,Y,N,Y,0.493
C-0946,66.7,31.8,50.8,28.0,27.0,NONE,N,N,Y,1.022
C-0959,57.15,27.76,50.8,28.0,25.0,NONE,N,N,Y,0.748
C-0960,57.15,27.76,50.8,28.0,24.0,NONE,N,N,Y,0.691
C-0961,50.8,23.8,50.8,28.0,19.0,NONE,N,N,Y,0.412
C-0966,158.8,31.8,50.8,28.0,38.0,NONE,N,Y,Y,1.535
C-0970,66.68,31.75,50.8,52.0,27.0,NONE,Y,N,Y,0.001
C-0973,66.68,31.8,50.8,15.0,8.0,NONE,Y,N,N,0.095
C-0976,66.7,31.8,50.8,28.0,25.0,NONE,Y,Y,Y,0.963
C-0977,85.0,31.8,50.8,28.0,14.0,NONE,Y,N,Y,0.28800000000000003
C-0978,88.9,50.8,50.8,28.0,36.5,NONE,N,N,Y,1.98
C-0994,52.37,26.19,50.8,28.0,36.5,NONE,N,Y,Y,0.877
C-1005,66.68,31.75,50.8,28.0,36.5,MJ-003,N,N,Y,1.1840000000000002
C-1014,76.2,31.8,50.8,28.0,50.0,NONE,Y,Y,Y,1.352
C-1066,38.1,31.8,50.8,28.0,13.0,NONE,N,N,Y,9.693
C-1071,76.2,31.8,50.8,28.0,8.0,NONE,Y,N,Y,0.165
C-1113,66.68,31.8,71.42,28.0,9.53,NONE,Y,N,N,0.249
C-1115,95.4,95.4,50.8,28.0,22.0,NONE,N,N,Y,1.97
C-1145,66.68,31.8,50.8,28.0,8.0,NONE,Y,N,N,0.07
C-1203,130.2,77.8,50.8,28.0,22.35,NONE,Y,N,Y,1.835
C-1207,66.68,31.8,50.8,28.0,8.0,MJ-001,Y,N,N,0.172
C-1210,58.72,30.18,50.8,28.0,36.5,MJ-003,Y,N,Y,0.976
C-1212,77.8,42.9,50.8,28.0,36.5,MJ-003,N,N,Y,1.815
C-1224,47.63,22.23,50.8,28.0,25.0,NONE,N,N,Y,0.081
C-1234,82.55,31.8,50.8,28.0,25.14,NONE,Y,N,Y,0.5329999999999999
C-1235,52.4,26.2,50.8,28.0,28.0,MJ-001,Y,N,Y,0.562
C-1236,58.7,30.2,50.8,28.0,28.0,MJ-001,Y,N,Y,0.7709999999999999
C-1242,66.68,31.8,71.4,22.22,9.53,NONE,Y,N,N,0.233
C-1245,52.37,26.19,50.8,28.0,10.41,NONE,Y,N,Y,0.223
C-1314,95.25,31.8,50.8,28.0,14.0,NONE,N,N,Y,0.405
C-1315,58.72,30.18,50.8,28.0,18.79,NONE,Y,N,Y,0.561
C-1326,57.15,27.76,50.8,30.0,15.0,NONE,Y,N,Y,0.419
C-1328,50.8,23.8,50.8,30.0,15.0,NONE,N,N,Y,0.383
C-1329,50.8,23.8,50.8,30.0,15.0,NONE,Y,N,Y,0.34600000000000003
C-1342,66.68,31.8,50.8,28.0,8.0,NONE,Y,N,N,0.098
C-1343,66.68,31.8,38.0,28.0,6.73,NONE,Y,N,N,0.059
C-1344,66.68,31.8,44.45,19.05,8.0,NONE,Y,N,N,0.136
C-1346,66.68,31.8,50.8,28.0,8.0,NONE,Y,N,N,0.131
C-1347,66.68,31.8,44.45,28.0,8.0,NONE,Y,N,N,0.59
C-1351,63.6,31.8,50.8,28.0,12.7,NONE,Y,N,Y,0.174
C-1352,79.38,31.8,50.8,28.0,9.53,NONE,N,N,Y,2.56
C-1354,79.38,31.8,50.8,28.0,9.27,NONE,N,N,Y,0.2
C-1357,79.38,79.38,50.8,28.0,12.0,NONE,N,N,Y,0.62
C-1365,50.8,31.8,50.8,28.0,14.0,NONE,N,Y,Y,0.104
C-1368,44.45,31.8,50.8,28.0,11.0,NONE,Y,N,Y,0.093
C-1370,79.36,31.8,50.8,28.0,25.0,NONE,Y,N,Y,0.598
C-1373,52.37,31.8,50.8,28.0,12.0,NONE,Y,N,Y,0.118
C-1376,50.8,31.8,50.8,28.0,16.0,NONE,Y,N,Y,0.16399999999999998
C-1390,58.72,30.18,50.8,28.0,19.05,NONE,Y,N,Y,0.494
C-1392,41.28,31.8,50.8,28.0,8.74,NONE,N,N,Y,0.077
C-1394,66.68,31.8,50.8,28.0,8.0,NONE,Y,N,N,0.209
C-1407,58.72,30.18,50.8,28.0,28.0,NONE,N,N,Y,0.561
C-1408,47.62,22.23,50.8,28.0,28.0,NONE,N,N,Y,0.24
C-1412,106.4,61.93,50.8,28.0,18.26,NONE,Y,N,Y,1.327
C-1413,120.7,69.9,50.8,28.0,18.8,NONE,Y,N,Y,1.45
C-1415,50.8,31.8,50.8,28.0,15.9,NONE,Y,N,Y,0.127
C-1418,50.8,31.8,50.8,28.0,9.53,NONE,N,N,Y,0.11
C-1427,69.9,35.7,50.8,28.0,15.75,NONE,Y,N,Y,0.586
C-1430,47.6,22.2,50.8,28.0,15.7,NONE,N,N,Y,0.34
C-1433,52.4,26.2,50.8,28.0,28.0,MJ-001,N,N,Y,0.614
C-1434,47.63,22.23,50.8,28.0,18.29,NONE,N,N,Y,0.35
C-1440,77.8,42.9,50.8,28.0,28.0,MJ-001,N,N,Y,1.171
C-1444,106.38,61.93,50.8,28.0,28.0,MJ-001,Y,N,Y,2.021
C-1446,66.7,31.8,50.8,28.0,36.5,MJ-003,Y,N,Y,1.273
C-1447,47.63,22.23,50.8,28.0,28.0,MJ-001,Y,N,Y,0.429
C-1448,47.63,22.23,50.8,28.0,28.0,MJ-001,N,N,Y,0.465
C-1449,66.68,31.8,101.6,28.0,9.52,MJ-001,Y,N,N,0.42
C-1450,77.77,42.88,50.8,28.0,28.0,MJ-001,Y,N,Y,1.213
C-1451,66.68,31.8,101.6,28.0,9.53,MJ-001,Y,N,N,0.35
C-1454,69.85,35.71,50.8,28.0,36.5,MJ-003,Y,N,Y,1.414
C-1455,79.4,36.5,50.8,28.0,36.5,MJ-003,N,N,Y,2.072
C-1456,79.38,36.5,50.8,28.0,50.0,MJ-003,N,Y,Y,2.465
C-1457,66.7,31.8,50.8,28.0,36.5,MJ-003,N,N,Y,1.449
C-1458,79.38,36.5,50.8,28.0,36.5,MJ-003,N,N,Y,1.993
C-1459,69.9,35.7,50.8,28.0,36.5,MJ-003,Y,N,Y,1.354
C-1460,69.9,35.7,50.8,28.0,36.5,MJ-003,Y,N,Y,1.23
C-1461,58.72,30.18,50.8,28.0,28.0,MJ-001,N,N,Y,0.851
C-1462,79.4,36.5,50.8,28.0,36.5,MJ-003,Y,N,Y,2.067
C-1463,77.8,42.9,50.8,28.0,36.5,MJ-003,Y,N,Y,1.725
C-1464,66.68,31.75,50.8,28.0,36.5,MJ-003,Y,N,Y,1.3730000000000002
C-1465,77.8,42.9,50.8,28.0,36.5,MJ-003,N,N,Y,1.811
C-1467,50.8,23.8,50.8,28.0,36.5,MJ-003,Y,N,Y,0.765
C-1471,52.4,26.2,50.8,28.0,36.5,MJ-003,Y,N,Y,0.784
C-1482,66.68,31.8,50.8,28.0,14.2,MJ-001,Y,N,N,0.14
C-1484,58.7,30.2,50.8,28.0,36.5,MJ-003,Y,N,Y,0.907
C-1487,77.77,42.88,50.8,28.0,36.5,MJ-003,N,N,Y,1.529
C-1492,50.8,31.8,50.8,28.0,8.64,NONE,N,N,Y,0.091
C-1493,66.68,31.8,38.1,19.05,6.73,NONE,Y,N,N,0.09
C-1494,66.68,31.8,44.45,28.0,8.0,MJ-001,Y,N,N,0.119
C-1495,66.68,31.8,44.45,28.0,8.0,MJ-001,Y,N,N,0.106
C-1501,106.4,61.9,50.8,28.0,18.0,NONE,Y,N,Y,1.2
C-1513,127.0,31.8,50.8,28.0,15.07,NONE,N,N,Y,0.561
C-1518,64.29,31.8,50.8,28.0,10.0,NONE,N,N,Y,0.2
C-1520,77.8,42.9,50.8,28.0,8.0,NONE,N,N,Y,0.6
C-1534,88.9,88.9,50.8,28.0,16.0,NONE,N,N,Y,0.654
C-1543,53.98,31.8,50.8,28.0,13.46,NONE,Y,N,Y,0.227
C-1544,66.68,31.8,50.8,25.5,8.0,MJ-001,Y,N,N,0.133
C-1545,66.68,31.8,84.12,17.5,9.53,NONE,Y,N,N,0.244
C-1549,44.45,31.8,50.8,28.0,9.11,NONE,N,N,Y,0.12
C-1551,66.68,31.8,60.32,28.0,8.0,NONE,Y,N,N,0.136
C-1552,52.37,26.19,50.8,28.0,15.0,NONE,N,N,Y,0.354
C-1553,66.68,31.8,60.35,28.0,8.0,NONE,Y,N,N,0.17600000000000002
C-1555,52.37,31.8,50.8,28.0,10.0,NONE,N,N,Y,0.09
C-1568,88.9,88.9,50.8,28.0,14.0,NONE,N,N,Y,1.0
C-1590,79.38,36.5,50.8,28.0,36.5,MJ-003,Y,N,Y,1.966
C-1591,47.6,22.2,50.8,28.0,28.0,MJ-001,N,N,Y,0.514
C-1592,52.37,26.19,50.8,28.0,36.5,MJ-003,Y,N,Y,0.735
C-1594,47.63,22.23,50.8,28.0,28.0,MJ-001,Y,N,Y,0.469
C-1614,130.2,77.8,50.8,28.0,24.38,NONE,Y,N,Y,2.35
C-1615,120.7,69.9,50.8,28.0,25.14,NONE,Y,N,Y,2.1830000000000003
C-1616,52.4,26.2,50.8,28.0,36.5,MJ-003,Y,N,Y,0.799
C-1617,77.77,42.88,50.8,28.0,36.5,MJ-003,Y,N,Y,1.845
C-1665,69.9,35.7,50.8,28.0,15.5,NONE,Y,N,Y,0.685
C-1670,56.0,31.8,50.8,28.0,8.0,NONE,N,N,Y,0.079
C-1673,57.15,31.8,50.8,28.0,9.0,NONE,N,N,Y,0.187
C-1678,60.0,31.8,50.8,28.0,8.0,NONE,N,Y,Y,0.07
C-1680,70.0,31.8,50.8,28.0,10.0,NONE,N,N,Y,0.28
C-1682,77.77,42.88,50.8,28.0,24.64,NONE,Y,N,Y,1.095
C-1683,58.72,30.18,50.8,28.0,14.99,NONE,Y,N,Y,0.424
C-1684,52.37,26.19,50.8,28.0,15.0,NONE,Y,N,Y,0.561
C-1685,77.77,42.88,50.8,28.0,24.64,NONE,N,N,Y,1.167
C-1687,106.38,61.93,50.8,28.0,19.05,NONE,Y,N,Y,1.579
C-1705,57.15,27.76,50.8,28.0,45.0,NONE,N,Y,Y,1.31
C-1706,77.8,42.9,50.8,28.0,28.0,MJ-001,Y,N,Y,1.413
C-1711,66.68,31.8,38.1,28.0,6.73,NONE,Y,N,N,0.045
C-1712,66.68,31.8,50.8,14.22,8.0,NONE,Y,N,N,0.331
C-1713,66.68,31.8,63.3,28.0,12.7,MJ-007,N,Y,N,0.26
C-1717,66.68,31.8,60.32,28.0,8.0,MJ-003,Y,N,N,0.243
C-1719,57.15,31.8,50.8,28.0,11.94,NONE,Y,N,Y,0.165
C-1720,66.68,31.8,50.8,28.0,8.0,MJ-001,Y,N,N,0.135
C-1721,66.68,31.8,60.32,28.0,8.0,MJ-001,Y,N,N,0.34
C-1734,63.5,31.8,50.8,28.0,12.7,NONE,Y,N,Y,0.327
C-1736,38.1,31.8,50.8,28.0,8.38,NONE,N,N,Y,0.045
C-1739,52.3,31.8,50.8,28.0,10.0,NONE,N,N,Y,0.107
C-1740,44.45,31.8,50.8,28.0,10.0,NONE,N,N,Y,0.084
C-1746,88.9,50.8,50.8,28.0,28.0,MJ-001,N,N,Y,1.585
C-1747,88.9,50.8,50.8,28.0,28.0,MJ-001,Y,N,Y,1.4240000000000002
C-1749,38.1,31.8,50.8,28.0,9.0,NONE,N,N,Y,0.07
C-1750,50.8,31.8,50.8,28.0,8.0,NONE,N,N,Y,0.067
C-1762,88.9,50.8,50.8,28.0,36.5,MJ-003,Y,N,Y,2.237
C-1763,58.72,30.18,50.8,28.0,36.5,MJ-003,N,N,Y,1.013
C-1768,66.68,31.75,50.8,40.0,20.0,NONE,N,N,Y,0.7829999999999999
C-1770,66.68,31.75,50.8,40.0,20.0,NONE,Y,N,Y,0.7190000000000001
C-1771,77.8,42.0,50.8,28.0,18.0,NONE,Y,N,Y,0.623
C-1772,79.38,36.5,50.8,45.0,25.0,NONE,Y,N,Y,1.239
C-1773,79.7,36.5,50.8,45.0,25.0,NONE,N,N,Y,1.3130000000000002
C-1775,50.8,23.8,50.8,28.0,16.0,NONE,Y,N,Y,0.355
C-1784,79.38,36.5,50.8,28.0,25.0,NONE,N,N,Y,1.5619999999999998
C-1785,47.63,22.22,50.8,30.0,16.0,NONE,Y,N,Y,0.243
C-1792,57.2,27.8,50.8,30.0,15.0,NONE,N,N,Y,0.371
C-1795,52.4,26.2,50.8,28.0,36.5,MJ-003,Y,N,Y,0.65
C-1796,69.85,35.71,50.8,28.0,36.5,MJ-003,Y,N,Y,1.453
C-1798,47.63,22.23,50.8,28.0,36.5,MJ-003,N,N,Y,0.18
C-1801,47.6,22.2,50.8,28.0,36.5,MJ-003,N,N,Y,0.597
C-1804,76.2,31.8,50.8,28.0,36.5,MJ-003,Y,N,Y,0.977
C-1805,52.4,26.2,50.8,28.0,36.5,MJ-003,N,N,Y,0.87
C-1806,47.6,22.2,50.8,28.0,36.5,MJ-003,N,N,Y,0.6609999999999999
C-1807,52.37,26.19,50.8,28.0,50.0,MJ-001,Y,Y,Y,0.428
C-1811,88.9,50.8,50.8,28.0,19.05,NONE,N,N,Y,0.95
C-1834,127.0,31.8,50.8,28.0,18.29,NONE,N,N,Y,0.575
C-1843,52.4,26.2,50.8,28.0,19.05,NONE,Y,N,Y,0.3670000000000001
C-1849,56.9,31.8,50.8,28.0,9.52,NONE,N,N,Y,0.168
C-1854,52.32,31.8,50.8,28.0,10.0,NONE,N,N,Y,0.305
C-1855,52.32,31.8,50.8,28.0,10.0,NONE,N,Y,Y,0.1
C-1880,52.37,26.19,50.8,28.0,36.5,MJ-003,N,N,Y,0.799
C-1881,58.7,30.2,50.8,28.0,36.5,MJ-003,N,N,Y,0.974
C-1882,69.9,35.7,50.8,28.0,36.5,MJ-003,N,N,Y,1.435
C-1883,69.9,35.7,50.8,28.0,36.5,MJ-003,N,N,Y,1.3159999999999998
C-1884,52.4,26.2,50.8,28.0,36.5,MJ-003,N,N,Y,0.716
C-1886,58.72,30.18,50.8,28.0,36.5,MJ-003,N,N,Y,1.073
C-1887,58.7,30.2,50.8,28.0,36.5,MJ-003,N,N,Y,1.026
C-1890,69.85,35.71,50.8,28.0,36.5,MJ-003,N,N,Y,1.487
C-1893,58.7,30.2,50.8,28.0,36.5,MJ-003,Y,N,Y,1.009
C-1894,66.68,31.8,71.42,24.0,9.52,MJ-001,Y,N,N,0.166
C-1895,47.6,22.2,50.8,28.0,36.5,MJ-003,N,N,Y,0.632
C-1897,66.68,31.8,50.8,18.0,8.0,NONE,Y,N,N,0.212
