component_id,threaded_adaptor_angle,threaded_overall_length,threaded_hex_size,threaded_end_form_id_1,threaded_connection_type_id_1,threaded_length_1,threaded_thread_size_1,threaded_thread_pitch_1,threaded_nominal_size_1,threaded_end_form_id_2,threaded_connection_type_id_2,threaded_length_2,threaded_thread_size_2,threaded_thread_pitch_2,threaded_nominal_size_2,threaded_end_form_id_3,threaded_connection_type_id_3,threaded_length_3,threaded_thread_size_3,threaded_thread_pitch_3,threaded_nominal_size_3,threaded_end_form_id_4,threaded_connection_type_id_4,threaded_length_4,threaded_thread_size_4,threaded_thread_pitch_4,threaded_nominal_size_4,threaded_unique_feature,threaded_orientation,threaded_weight
C-0077,90.0,23.0,27.2,A-004,NONE,37.3,1.0,14.0,17.14,A-001,B-002,35.5,0.812,16.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.066
C-0078,90.0,32.0,27.0,A-005,B-002,37.3,0.812,16.0,25.4,A-004,NONE,35.5,1.187,12.0,17.14,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.07
C-0119,90.0,38.5,31.75,A-001,B-003,44.0,0.625,18.0,25.4,A-004,NONE,15.0,1.187,12.0,9.52,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.205
C-0133,90.0,70.0,31.75,A-006,B-002,37.3,0.812,16.0,25.4,A-004,NONE,35.5,1.187,12.0,12.7,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,Y,N,0.142
C-0159,90.0,38.5,31.75,A-003,NONE,35.5,1.0,14.0,42.7,A-003,NONE,35.5,1.187,12.0,34.0,A-001,B-002,42.0,1.4369999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.667
C-0173,90.0,43.5,31.75,A-003,NONE,37.3,1.0,14.0,27.2,A-001,B-005,35.5,1.062,12.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.14
C-0178,90.0,50.0,63.5,A-007,B-004,37.3,2.0,11.5,25.4,A-004,NONE,35.5,1.187,12.0,44.45,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.511
C-0179,90.0,38.5,44.45,A-001,B-002,37.3,1.6869999999999998,12.0,25.4,A-004,NONE,35.5,1.187,12.0,35.0,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.104
C-0180,90.0,33.5,31.75,A-001,B-002,37.3,1.187,12.0,25.4,A-004,NONE,35.5,1.187,12.0,25.0,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.14400000000000002
C-0181,90.0,38.5,38.1,A-001,B-002,37.3,1.4369999999999998,12.0,25.4,A-004,NONE,35.5,1.187,12.0,25.0,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.218
C-0182,90.0,38.5,38.1,A-001,B-002,37.3,1.4369999999999998,12.0,25.4,A-004,NONE,35.5,1.187,12.0,30.0,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.269
C-0189,90.0,38.5,31.75,A-001,B-002,21.8,0.562,18.0,25.4,A-004,NONE,9.5,1.187,12.0,6.35,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.07
C-0210,90.0,38.5,31.75,A-001,B-002,30.96,0.812,16.0,25.4,A-004,NONE,15.88,1.187,12.0,15.88,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.211
C-0211,90.0,38.5,31.75,A-001,B-002,33.32,1.0,14.0,25.4,A-004,NONE,16.67,1.187,12.0,15.88,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.243
C-0212,90.0,38.5,31.75,A-001,B-002,41.68,1.4369999999999998,12.0,25.4,A-004,NONE,23.82,1.187,12.0,25.4,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.633
C-0216,90.0,20.32,22.23,A-001,B-005,37.3,0.75,16.0,25.4,A-004,NONE,35.5,1.187,12.0,15.88,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.034
C-0217,90.0,23.62,25.4,A-001,B-005,37.3,0.875,14.0,25.4,A-004,NONE,35.5,1.187,12.0,15.88,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.054000000000000006
C-0218,90.0,27.69,31.75,A-001,B-005,37.3,1.062,12.0,25.4,A-004,NONE,35.5,1.187,12.0,25.4,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.08199999999999999
C-0223,90.0,38.5,31.75,A-004,NONE,40.1,1.0,14.0,25.40,A-004,NONE,40.1,1.187,12.0,25.4,A-001,B-002,41.7,1.6869999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.56
C-0240,90.0,38.0,38.1,A-001,B-002,37.3,1.187,12.0,25.4,A-004,NONE,35.5,1.187,12.0,30.0,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.195
C-0253,90.0,30.5,47.62,A-004,NONE,37.3,1.0,14.0,34,A-001,B-002,35.5,1.6869999999999998,12.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.2
C-0263,90.0,38.5,31.75,A-006,B-002,67.2,1.187,12.0,25.4,A-004,NONE,38.9,1.187,12.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.525
C-0264,90.0,38.5,31.75,A-006,B-002,56.9,0.812,16.0,25.4,A-004,NONE,38.9,1.187,12.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.525
C-0272,90.0,38.5,44.45,A-001,B-002,37.3,1.4369999999999998,12.0,25.4,A-004,NONE,35.5,1.187,12.0,35.0,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.104
C-0318,90.0,23.1,22.22,A-001,B-002,37.3,0.687,16.0,25.4,A-004,NONE,35.5,1.187,12.0,15.88,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.038
C-0338,90.0,38.5,31.75,A-003,NONE,30.0,1.0,14.0,9999,A-001,B-002,33.5,1.0,14.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.29
C-0339,90.0,38.5,31.75,A-003,NONE,30.0,1.0,14.0,21.7,A-003,NONE,30.0,1.187,12.0,21.7,A-001,B-002,33.5,1.0,14.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.32
C-0363,90.0,72.5,31.75,A-006,B-002,37.3,1.0,14.0,25.4,A-004,NONE,35.5,1.187,12.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.175
C-0369,90.0,38.5,31.75,A-001,B-002,30.55,0.812,16.0,25.4,A-001,B-002,30.55,0.812,16.0,19.05,A-004,NONE,15.88,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.253
C-0371,90.0,38.5,31.75,A-003,NONE,40.0,1.0,14.0,34,A-001,B-002,42.5,1.4369999999999998,12.0,19.05,A-001,B-002,50.5,1.4369999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.8420000000000001
C-0386,90.0,42.7,60.3,A-001,B-002,37.3,2.0,12.0,25.4,A-004,NONE,35.5,1.187,12.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.5429999999999999
C-0388,90.0,45.9,19.05,A-006,B-002,37.3,0.687,16.0,25.4,A-004,NONE,35.5,1.187,12.0,12.7,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.078
C-0389,90.0,48.4,22.22,A-006,B-002,37.3,0.812,16.0,25.4,A-004,NONE,35.5,1.187,12.0,12.7,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.15
C-0399,90.0,38.5,31.75,A-004,NONE,15.88,1.0,14.0,15.88,A-004,NONE,15.88,1.187,12.0,15.88,A-001,B-002,30.96,0.812,16.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.16899999999999998
C-0409,90.0,45.0,31.75,A-005,B-002,37.3,1.187,12.0,25.4,A-004,NONE,35.5,1.187,12.0,25.4,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.15
C-0410,90.0,44.0,31.75,A-005,B-002,37.3,0.812,16.0,25.4,A-004,NONE,35.5,1.187,12.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.11
C-0413,90.0,23.0,19.0,A-001,B-002,37.3,0.687,16.0,25.4,A-004,NONE,35.5,1.187,12.0,10.0,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.04
C-0414,90.0,23.0,19.0,A-001,B-002,37.3,0.687,16.0,25.4,A-004,NONE,35.5,1.187,12.0,12.0,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.04
C-0415,90.0,24.5,22.0,A-001,B-002,37.3,0.812,16.0,25.4,A-004,NONE,35.5,1.187,12.0,12.0,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.05
C-0417,90.0,37.0,27.0,A-005,B-002,37.3,0.812,16.0,25.4,A-004,NONE,35.5,1.187,12.0,17.14,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.231
C-0418,90.0,30.0,27.0,A-004,NONE,37.3,1.0,14.0,17.14,A-001,B-002,35.5,0.812,16.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.078
C-0419,90.0,37.0,27.0,A-005,B-002,37.3,0.812,16.0,25.4,A-004,NONE,35.5,1.187,12.0,17.47,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.231
C-0420,90.0,30.0,27.0,A-004,NONE,37.3,1.0,14.0,17.47,A-001,B-002,35.5,0.812,16.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.078
C-0421,90.0,38.5,31.75,A-001,B-002,29.0,0.812,16.0,25.4,A-004,NONE,21.0,1.187,12.0,17.47,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,Y,Y,0.28800000000000003
C-0487,90.0,38.5,31.75,A-001,B-002,40.0,1.187,12.0,25.4,A-001,B-002,40.0,1.187,12.0,19.05,A-004,NONE,22.5,1.3119999999999998,12.0,35.0,NONE,NONE,41.7,1.187,12.0,,N,Y,0.669
C-0488,90.0,38.5,31.75,A-001,B-002,40.0,1.187,12.0,25.4,A-001,B-002,40.0,1.187,12.0,19.05,A-004,NONE,23.0,1.3119999999999998,12.0,30.0,NONE,NONE,41.7,1.187,12.0,,N,Y,0.7020000000000001
C-0503,90.0,48.26,31.75,A-004,NONE,37.3,1.0,14.0,50.80,A-001,B-002,35.5,1.4369999999999998,12.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.525
C-0518,90.0,23.1,22.0,A-001,B-002,37.3,0.687,16.0,25.4,A-004,NONE,35.5,1.187,12.0,7.94,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.04
C-0521,90.0,38.5,31.75,A-004,NONE,23.9,1.0,14.0,25.40,A-001,B-002,41.7,1.4369999999999998,12.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.6629999999999999
C-0545,90.0,24.5,22.22,A-004,NONE,37.3,1.0,14.0,9.52,A-005,B-002,35.5,0.687,16.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.057
C-0550,90.0,38.6,53.98,A-001,B-002,37.3,2.0,12.0,25.4,A-004,NONE,35.5,1.187,12.0,38.1,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.404
C-0584,90.0,38.5,31.75,A-001,B-002,40.0,1.6869999999999998,12.0,25.4,A-004,NONE,28.0,1.187,12.0,33.34,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.7120000000000001
C-0596,90.0,43.7,17.46,A-006,B-002,37.3,0.562,18.0,25.4,A-004,NONE,35.5,1.187,12.0,9.52,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,Y,N,0.055
C-0600,90.0,38.5,31.75,A-006,B-002,65.7,1.0,14.0,25.4,A-001,B-002,38.5,1.187,12.0,19.05,A-004,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,Y,Y,0.529
C-0605,90.0,38.5,31.75,A-004,NONE,23.8,1.0,14.0,25.40,A-007,B-005,0.0,0.4370000000000001,20.0,19.05,A-001,B-002,41.7,1.187,12.0,15.88,A-001,B-002,41.7,1.187,12.0,,Y,Y,0.358
C-0607,90.0,38.5,31.75,A-001,B-002,24.9,0.687,16.0,25.4,A-001,B-002,24.9,0.687,16.0,19.05,A-004,NONE,14.5,1.3119999999999998,12.0,9.52,NONE,NONE,41.7,1.187,12.0,,N,Y,0.5
C-0638,90.0,75.5,31.75,A-004,NONE,37.3,1.0,14.0,25.40,A-006,B-002,35.5,1.4369999999999998,12.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,Y,N,0.401
C-0651,90.0,72.4,76.2,A-001,B-004,37.3,2.5,8.0,25.4,A-004,NONE,35.5,1.187,12.0,63.5,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.968
C-0683,90.0,29.7,31.75,A-001,B-002,37.3,1.187,12.0,25.4,A-004,NONE,35.5,1.187,12.0,15.88,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.134
C-0702,90.0,63.3,53.98,A-006,B-002,37.3,1.4369999999999998,12.0,25.4,A-004,NONE,35.5,1.187,12.0,38.1,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.4970000000000001
C-0740,90.0,65.1,31.75,A-004,NONE,37.3,1.0,14.0,6.35,A-006,B-002,35.5,0.687,16.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,Y,N,0.123
C-0768,90.0,38.5,31.75,A-001,B-002,42.0,1.187,12.0,25.4,A-004,NONE,37.3,1.187,12.0,19.05,A-001,B-002,37.3,1.187,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.539
C-0769,90.0,38.5,31.75,A-004,NONE,24.7,1.0,14.0,14.29,A-001,B-002,25.0,0.687,16.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.138
C-0775,90.0,65.1,31.75,A-004,NONE,37.3,1.0,14.0,9.52,A-006,B-002,35.5,0.687,16.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.111
C-0805,90.0,38.5,31.75,A-004,NONE,43.0,1.0,14.0,25.40,A-001,B-002,41.7,0.812,16.0,19.05,A-006,B-002,71.2,1.4369999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,1.125
C-0806,90.0,38.5,31.75,A-004,NONE,50.0,1.0,14.0,25.40,A-001,B-002,41.7,1.4369999999999998,12.0,19.05,A-001,B-002,41.7,1.4369999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,1.007
C-0807,90.0,38.5,31.75,A-001,B-002,40.0,1.0,14.0,25.4,A-001,B-002,40.0,1.0,14.0,19.05,A-004,NONE,42.0,1.3119999999999998,12.0,25.4,NONE,NONE,41.7,1.187,12.0,,N,Y,0.6459999999999999
C-0826,90.0,38.5,31.75,A-004,NONE,34.5,1.0,14.0,25.40,A-001,B-001,48.0,1.062,12.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,Y,Y,0.182
C-0832,90.0,24.4,14.29,A-001,B-001,37.3,0.562,18.0,25.4,A-004,NONE,35.5,1.187,12.0,9.52,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.6809999999999999
C-0833,90.0,41.1,38.1,A-001,B-001,37.3,1.3119999999999998,12.0,25.4,A-004,NONE,35.5,1.187,12.0,31.75,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.136
C-0882,90.0,38.5,31.75,A-004,NONE,48.8,1.0,14.0,38.10,A-005,B-002,61.2,2.0,12.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,1.05
C-0895,45.0,38.5,31.75,A-001,B-002,36.5,1.187,12.0,25.4,A-004,NONE,25.9,1.187,12.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.397
C-0900,90.0,63.2,44.45,A-001,B-002,37.3,1.6869999999999998,12.0,25.4,A-004,NONE,35.5,1.187,12.0,31.75,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.456
C-0911,90.0,42.5,38.1,A-003,NONE,37.3,1.0,14.0,25.40,A-001,B-002,35.5,1.4369999999999998,12.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.201
C-0912,90.0,38.5,31.75,A-003,NONE,39.5,1.0,14.0,25.40,A-001,B-002,41.7,1.4369999999999998,12.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.458
C-0938,90.0,56.6,44.45,A-001,B-002,37.3,1.4369999999999998,12.0,25.4,A-003,NONE,35.5,1.187,12.0,35.0,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.35100000000000003
C-0945,90.0,42.4,38.0,A-001,B-002,37.3,1.187,12.0,25.4,A-003,NONE,35.5,1.187,12.0,30.0,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.225
C-0947,90.0,42.9,38.0,A-001,B-002,37.3,1.4369999999999998,12.0,25.4,A-003,NONE,35.5,1.187,12.0,30.0,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.204
C-0948,90.0,56.6,38.0,A-001,B-002,37.3,1.4369999999999998,12.0,25.4,A-003,NONE,35.5,1.187,12.0,25.0,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.284
C-0949,90.0,50.7,31.75,A-001,B-002,37.3,1.187,12.0,25.4,A-003,NONE,35.5,1.187,12.0,25.0,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.17600000000000002
C-0971,90.0,38.5,31.75,A-001,B-002,41.2,1.187,12.0,25.4,A-001,B-002,41.2,1.187,12.0,19.05,A-003,NONE,41.7,1.3119999999999998,12.0,9999.0,NONE,NONE,41.7,1.187,12.0,,N,Y,0.545
C-0974,90.0,38.5,31.75,A-006,B-002,71.1,1.4369999999999998,12.0,25.4,A-004,NONE,41.6,1.187,12.0,31.75,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,1.17
C-1067,90.0,63.0,38.1,A-006,B-002,37.3,1.4369999999999998,12.0,25.4,A-004,NONE,35.5,1.187,12.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.005
C-1072,90.0,38.5,31.75,A-004,NONE,46.7,1.0,14.0,31.75,A-001,B-002,44.5,1.6869999999999998,12.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.097
C-1078,90.0,24.4,12.7,A-001,B-001,37.3,0.4370000000000001,20.0,25.4,A-004,NONE,35.5,1.187,12.0,6.35,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.016
C-1209,90.0,38.5,31.75,A-001,B-002,25.0,0.687,16.0,25.4,A-004,NONE,25.0,1.187,12.0,9.52,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,Y,Y,0.096
C-1218,90.0,48.4,26.99,A-006,B-002,37.3,0.812,16.0,25.4,A-004,NONE,35.5,1.187,12.0,15.88,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.15
C-1219,90.0,38.5,31.75,A-005,B-002,37.9,0.812,16.0,25.4,A-004,NONE,28.0,1.187,12.0,12.7,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.14
C-1221,90.0,38.5,31.75,A-004,NONE,33.3,1.0,14.0,19.05,A-001,B-002,33.3,1.0,14.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,Y,Y,0.16
C-1238,90.0,38.5,31.75,A-006,B-001,28.2,0.75,16.0,25.4,A-004,NONE,53.6,1.187,12.0,12.7,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.083
C-1338,90.0,40.5,27.0,A-003,NONE,37.3,1.0,14.0,21.7,A-001,B-002,35.5,1.0,14.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.146
C-1393,90.0,32.0,31.75,A-004,NONE,37.3,1.0,14.0,38.10,A-007,B-005,35.5,1.062,12.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,Y,N,0.37
C-1423,90.0,42.5,38.1,A-003,NONE,37.3,1.0,14.0,27.2,A-001,B-002,35.5,1.4369999999999998,12.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.17
C-1441,90.0,31.8,31.75,A-001,B-005,37.3,1.062,12.0,25.4,A-003,NONE,35.5,1.187,12.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.106
C-1445,90.0,38.5,31.75,A-004,NONE,34.5,1.0,14.0,19.05,A-001,B-001,48.0,1.062,12.0,19.05,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,Y,0.363
C-1468,90.0,18.54,15.88,A-001,B-006,37.3,0.625,18.0,25.4,A-004,NONE,35.5,1.187,12.0,9.52,NONE,NONE,37.0,1.3119999999999998,12.0,15.88,NONE,NONE,41.7,1.187,12.0,,N,N,0.128
